id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9991190796048823,0.6433083396361594,0.8635696222183901,0.6114602526732884
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9992157714089764,0.5413560302755788,0.9418554687275738,0.8125118830419994
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9985425151124043,0.5623646915749838,0.7964962194801101,0.35388718533323543
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9949682619367434,0.487251864172798,0.8822922829746201,0.7506354745720646
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9938060032256204,0.7109384412578887,0.8841520399688794,0.3767982241697297
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.996184534510065,0.7235968738631738,0.8951201820975949,0.7005343469793102
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.996515729163058,0.7945049753396171,0.8488674657342539,0.7057367912190446
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9815431710887081,0.7414674521865963,0.833772740147126,0.30944744601436547
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9945221735087891,0.6896214530656649,0.9802645458816388,0.9014970098544388
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9822289652049512,0.8362702852472524,0.8892008878744871,0.8319529863365219
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9941360123478068,0.9195290764343137,0.9831402141323291,0.8994085478234938
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9890472388522709,0.7906655146823215,0.4321820641976483,0.4953220054132484
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.987077808183421,0.732435319623394,0.8854968107780633,0.7458457529599375
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9796230731185054,0.849699492910997,0.7038701186025536,0.5949351789274324
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9650293431018115,0.813919609787777,0.834960235391797,0.3048641179621159
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9836419829271776,0.8847367913020603,0.8376072264101222,0.5731336157191079
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9855182818640928,0.8111081134380264,0.6822671607003626,0.4306699156469619
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9797100246011918,0.8745460238063083,0.8808435994437804,0.6993011238642688
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9778567621210139,0.726034690826166,0.807295087546539,0.5121651992859299
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9882259310797897,0.8894030804641221,0.8226682266411584,0.5315685341792449
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9850484991285282,0.7993161622901188,0.9199232370142133,0.6927076617960309
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.982255774270542,0.6981248222883399,0.9332772096833399,0.8183534801879044
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9927486910228541,0.8881570062114273,0.9874694389872508,0.9718159046910242
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9822174497650719,0.8743482051172857,0.9639245639014608,0.9408768138479211
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9854234446611342,0.7374322950130631,0.8039019222511673,0.7926692455065043
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9941241761094446,0.7165040437054828,0.9702201329227473,0.8514152681932499
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9929302523970516,0.7900541559325234,0.9717172880747026,0.9122504727935475
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9769507582773682,0.800861468611661,0.807718004270941,0.5049292493093279
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9917368535752469,0.8175065322497131,0.9500406672515074,0.8258876066080014
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9869167968925907,0.5042560840701416,0.9537552279435958,0.9165668754638292
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9920660981360292,0.6975041015758711,0.8489193781268414,0.3462718503733301
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9679846995311467,0.3879754033146905,0.9250089896082151,0.806856998519854
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9873378155090461,0.7195622344223127,0.8814158804628694,0.6593852374825152
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9953653604466954,0.6397152392377435,0.8728566657369919,0.6658606956654334
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.987078338622754,0.9172408642419196,0.9747200920153203,0.9359815583073363
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9850832679558531,0.7713000696521362,0.767344143185683,0.6266087686225814
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9944338057684435,0.7625551903448309,0.8792146378769139,0.49787894268886623
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9912468540228205,0.713102867602395,0.972904507987836,0.7662989085151426
