id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9881062298627239,0.938509695533377,0.8961857851632168,0.8055799447315231
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9749560114886088,0.778618840846606,0.6353819122224879,0.6275175195470445
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9867257745501175,0.890386303918185,0.591484769335823,0.5183064271161542
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9827240775427294,0.755325944717943,0.8472629631392494,0.8690918722172957
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9785500854320751,0.7104978442545155,0.8569939834586476,0.624359063459129
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9547055463671249,0.9024326998285044,0.9568783232824886,0.932316622387343
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9928905716383879,0.884455033367433,0.9005565712758493,0.8342890354134292
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9749697101656818,0.8595969923863035,0.7630889551284832,0.1300821169722723
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9843717857752875,0.8429377201793107,0.9670856709043706,0.91518582927089
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9559096903959565,0.8707878364125127,0.9363576952589957,0.9346199647794878
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9855547411198072,0.8815456827475576,0.969852927702987,0.8356514752815821
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9761825360764567,0.9124275194250608,0.20201478096800143,0.5719458242706135
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9829017589438672,0.9026485754241452,0.9329795345454234,0.8713452422946809
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9911724541477256,0.9609098472764926,0.9255299799981074,0.9005227002169371
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9774711613192848,0.9150051281594431,0.7752410934878666,0.6654985780886323
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9865930388111321,0.9236212351206211,0.8276062963188141,0.5950639699451612
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.977288838595965,0.8636873773766864,0.9083035009018603,0.8342951000005037
