id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.26506954106935887,0.34123690581486343,0.24553593264401835
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.28931376059336783,0.299712048859726,0.286378557958076
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.5448535554607463,0.6368309372856907,0.25609197039329207
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.5005562289101387,0.4646138011832699,0.4106885142009136
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.4888051593962271,0.5724216066752376,0.20311758727909873
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.35096389562398517,0.46084098281374236,0.15269859352965975
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.5464370392492132,0.5340104545410366,0.3672364650512218
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.49267313543399627,0.34804474728237617,0.20219840049677298
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.35897926575995515,0.34491918035500047,0.5335832058101591
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.4835624065862387,0.4853621744188002,0.4324131239449845
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2694646552761333,0.19607496565710245,0.38961761546762613
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5560985972142986,0.5578592126874592,0.3857745135091247
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6381392459063909,0.5488941620732295,0.6580448291987592
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8374391220894161,0.8471610711711643,0.5878906038448162
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8429630753413339,0.7441547443142803,0.6193001004528371
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7542035655443695,0.6619299347974958,0.5384005747297834
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.852466307945512,0.6332296269502917,0.5563333887394658
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8298731102034446,0.7984578802653429,0.5341318751123606
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7091542182353651,0.5579273105677136,0.5564563957780175
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8201163789381294,0.5962408710933161,0.5904833254348444
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6352954132917259,0.6483787606476822,0.5076257301308105
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.7467930417064182,0.741483400450761,0.7188204190325365
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.86352627235379,0.8262433534648034,0.7349241709797194
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.8376315167486356,0.8248033535614772,0.592673867856104
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.7025123817405966,0.6432801573571316,0.2397648658898818
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7582568506460327,0.744363435890404,0.5916763637672824
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4660104557530909,0.3672733580724496,0.5034537723746452
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8544059734794555,0.7691306110634629,0.47005273776930767
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5397976115459773,0.592398249289793,0.5828826718825162
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.2735562674453131,0.32592126493195955,0.5634333301110953
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8400077422137638,0.8594128979049862,0.4155918416048157
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.44652513821894013,0.4202973895751675,0.37057001015159163
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4261143795209271,0.514082393120261,0.32384623002465923
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.4055387518708758,0.3544763143420286,0.32979286516568046
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6880351338095814,0.6526367140238427,0.6281379219452248
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.4168426525612407,0.4256360190818725,0.36403386780081903
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.5048155053640467,0.4677796584962292,0.4264917355668389
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.784988714577621,0.7125974440009573,0.7012885121971897
