id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.5204644917252541,0.5050508191216055,0.5157366837636449
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.582583997092625,0.4562758210334435,0.4063654058280422
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.511522949849362,0.5232791501910188,0.46108373897339006
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.46897937912416904,0.47774572685997246,0.4489720646091518
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.44129794666450617,0.4089066435637409,0.45352739281999027
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.46345808154628765,0.45584212711444405,0.46513748020332185
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.5306394534320527,0.49642830566250123,0.5657346831472302
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.6640986549775343,0.6658059380612878,0.6080345184275477
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.6221989263747089,0.6094184602087259,0.625989839772042
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.5486993249860344,0.536571279906435,0.5408231508201862
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.5600314386700963,0.5351499673044997,0.5591739881819927
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.6164629452265323,0.5799886764465495,0.5528014504342197
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.6220236138815884,0.6294939868578932,0.5903260808795217
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.6755303104513148,0.6391330350654495,0.6138774417576129
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.5602583260698561,0.5566578417810214,0.5550808365542191
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.592094661972735,0.6174702430201804,0.5333776483078966
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.6641621041781984,0.651129340007681,0.6591571693779983
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.5379346968215821,0.5485947772296005,0.5180839486575219
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.6355683078127354,0.6313437190484359,0.6204955503080682
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.659552798430025,0.6614617129326706,0.6319095133953583
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.502636054251929,0.5064647765348221,0.47983652305964786
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.5908896295678115,0.588573327761358,0.5936208848848546
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.6042840131597292,0.6234128091442057,0.5734844881332763
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.5859893450810129,0.5930941788633479,0.5778033007660989
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.5698623804798882,0.5632218330923366,0.5582630519372862
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.5096716077059908,0.5075635443376727,0.5119445291701498
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.5808227708872106,0.5596795458488548,0.6052967816605417
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.6214822969923498,0.6079252650038942,0.597449103838896
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.5810722162125996,0.5881164172629003,0.5416994915686593
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.6341402386215016,0.6104030834798541,0.6563226532726096
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.5617687307018279,0.5692723831557626,0.5439591719002507
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.5800015894436963,0.5910130969567304,0.5548410766891915
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.4919147711542974,0.48366989003120875,0.4976002498432011
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.5232827476578518,0.527486609621437,0.5279003652475237
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.5320486480747338,0.5392482713950748,0.5099871123998544
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.5236465744739731,0.5212096815646854,0.5057223134376873
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.5897125999871026,0.5850102819231696,0.5907933118985709
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.6705584948432032,0.6873645510762159,0.6398194098991382
