id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.12205638049838274,0.06730443378801534,0.28625926155454046
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.01863822100401184,0.06722809603875754,-0.21357059070051498
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.18217688235776916,0.2662337147517,-0.08397350405686292
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,-0.0019433672719050032,0.16475184648493554,-0.28572462020739653
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.34055234555995556,0.37086176488106537,0.18340607111038976
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.61588192228133,0.6388869723579115,0.4161504778723789
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.4686089736827619,0.3934947671502786,0.5513137639542296
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5785110263721978,0.609894418712875,0.19728163184878816
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.39130327432640294,0.3886674263015574,0.4079723816284465
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5743619027069422,0.6260377073054113,0.4037159943159126
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.5420548684826574,0.46643651881349296,0.5706232089055089
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5301648036394897,0.7282920982603645,0.01051560498929529
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5007059052383996,0.5990385246755666,0.27809706218846886
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.634310469277278,0.7675288113060816,0.2722242226796653
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6206919618177592,0.6993050820381411,0.3727289368282916
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.48798244372574334,0.6349213503578097,0.08491301763929335
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6213819869666332,0.7523421283871263,0.289890250565154
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.46879387618094526,0.5756639635200952,0.3458315165761275
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.536901456174024,0.5705923215208555,0.3203187942855629
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.4637645391093669,0.5232819376444486,0.25215797344037816
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6494664718681039,0.6779733144150883,0.4237847711993221
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.643178350246744,0.6738900687898002,0.4194925082234516
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5702525778223203,0.624527141624341,0.3909588236108064
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5529351536355988,0.5795619513247177,0.3543807892652155
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5691989285031671,0.5857025836487575,0.3069696453347382
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6016597508419163,0.6555730818949216,0.22047155990804812
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4770895255662744,0.5423054424882404,0.17435718244385703
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.6010851387986956,0.6700748828753443,0.2242823086150717
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.32044379778517407,0.40036373350429966,0.2811097721878506
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.3974580809666354,0.45089615733326616,0.36155450203404554
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.6909264932595083,0.7612012168785571,0.3422815576689074
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.4452508581047272,0.5173401796913195,0.2477129491088671
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.42744449222635894,0.5504123962570062,0.17634650843392452
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.35321243190409035,0.44607873145511856,0.08863663432714375
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.2883537220402861,0.23387580929049206,0.28280894386079697
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.18798658542096136,0.2811376530572129,0.022943992929815256
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.0738540134090611,0.2083620064552259,-0.023699658747091016
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5061415847434148,0.5511081017618248,0.23312910622871605
