id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.016793105075150267,0.012830085836883023,0.023684732716191714
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.008523839298534786,0.00800386138452047,0.00825945867042697
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.019999858551378893,0.01782592192980544,0.023612122512534504
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.031747634597302364,0.030256195009505125,0.03133528082211504
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.01582880906250168,0.012079193902984757,0.021114009847517507
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.017830878868801487,0.014768631584921806,0.022091699672927637
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.026998698209071765,0.021669802863210012,0.03454834984134814
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.028551994005937012,0.022533907409748637,0.03852137204540844
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.03862824729467495,0.032583988363684126,0.04990391527501628
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.030082853049941398,0.02664891177779169,0.03534772079478094
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.039559313783283326,0.03898023279725361,0.04032523121221652
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.019803331443183237,0.018408136049420543,0.022190313867797982
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.03433921380218425,0.03052466147445061,0.039836448403536236
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.037478588536385526,0.029509062782227514,0.04914682533757815
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.021061275454654825,0.016446030090507692,0.03118348985843999
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.01825293533834525,0.018431343299265147,0.019391517247732734
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.01666171883847569,0.013194102382682303,0.02191445178183704
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.027610815787829073,0.02429304133283424,0.03356832820862884
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.031038818158084482,0.02919176733358634,0.03310620005966132
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.01792931973403175,0.016282648159985418,0.01984614807759322
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.02800222811315202,0.02150880553354524,0.040577824217789396
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.02018093270594043,0.01752074459930714,0.024878248161178965
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.03679608728596087,0.028220352938658193,0.05130829206257774
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.029757014455162385,0.021494897227364033,0.04180463161399263
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.022136057614838455,0.017934806662616615,0.029746757207395922
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.033351257190614596,0.02738655288956461,0.04414510335012523
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.03535643322625978,0.03059083773950157,0.04241724778977494
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.024340923980966097,0.022622462195871725,0.026663514328956927
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.030451407760616972,0.027759724817918125,0.034671207996396766
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.027366768458609626,0.022795114534270623,0.034080657263879516
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.026630669797181015,0.02455150843684648,0.030114940174426896
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.030815225720554562,0.026576520956039816,0.03708754933656011
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.022815138837490114,0.018100312018676165,0.031862740692834686
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.030938084036465592,0.0247661104153635,0.04270420255372573
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.024253883418119328,0.02318206173658546,0.028262803524422092
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.01723377014224303,0.013555285596141792,0.023442684311457785
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.027933918465692445,0.023190852342127456,0.03726844236273105
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.03384124728425789,0.030137646087739438,0.039836055385270554
