id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.33449075846091647,0.31914935330657274,0.19488288823729574
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.07091801045825691,0.10082833795262085,0.015595330690413564
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.18829221517575917,0.24682849213287086,0.039767990820207294
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.09022382166835084,-0.12417734561398487,-0.020532553693457575
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.3751916370343552,0.4072203692227624,0.22106231264428208
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.5272819641980551,0.5974875422516954,0.37551518612116724
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.5399546529527942,0.5373760070372708,0.42364795122482807
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.6597554849900634,0.6503854840626728,0.2912683019266402
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.4598654621405652,0.37496553481721717,0.4424876649755739
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5168869082661698,0.5301424208425282,0.4370303246782065
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.5486373083711651,0.4340937246734028,0.5844722712927272
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4892358248608971,0.6998209619674572,0.050396987764071075
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.39356928594167534,0.4565986317543583,0.30187865721035895
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5500610351112927,0.6703714477729186,0.2845120213142145
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6979507950450383,0.6766716182846554,0.3920902327970079
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.45015047899570754,0.5578079049899549,0.2543165799919153
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.573861774186746,0.6459972281342355,0.3109632268784789
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.5180038403911928,0.5807372122791239,0.3707558640173923
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5900696282680742,0.6644512708358854,0.33745767831254964
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.44668359330801377,0.41522379793910613,0.36650573098586764
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.5711815183191785,0.5514299408313726,0.4713526450884489
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5769158577455972,0.5734028425301168,0.44562495001901586
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5524508378868465,0.5586577998246706,0.36524264818854857
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.553559685825838,0.582859705885216,0.2791060934470095
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.527439625486388,0.5782719129915999,0.26771193773932056
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5475424965531416,0.6018229552503945,0.2815596731326818
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.43455707908898455,0.39310193289373513,0.18549827003836317
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5961924731617677,0.6568930201552418,0.20069856289156968
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.45854107333497107,0.4962990341892088,0.3382873247760099
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.3702824222266488,0.381686161218292,0.40410459474802807
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7138020098898084,0.7379629671750206,0.3573372209206005
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.48030358037694554,0.5232269180305341,0.43646581446643035
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3231650212591267,0.3800339265102521,0.19377149166442775
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.2921866236134783,0.3397931781834757,0.2362474888889312
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.34972083700481255,0.31669982896362664,0.431265980949741
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.25051154499083006,0.26744058378363744,0.18513898421363498
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,-0.05949972838680264,-0.09924220177144435,0.13359093430635555
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6128560443597494,0.5607366574860358,0.3601960362936486
