id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.8951659981110134,0.8977465918409935,0.8885777022758145,0.11895546039417797,0.11791238666882987,0.12006281959763869
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.864964879568024,0.8738958689781329,0.8453461440898024,0.08417365347936849,0.08412289038176893,0.08421491731053068
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.8851415789693211,0.9029677716399691,0.8491744205133669,0.0964038909220897,0.0978404160069023,0.09515038537618273
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.8574319135757875,0.8606163357791581,0.8500209587918048,0.12684378759847995,0.12887371840323067,0.12501271526751773
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.898191045102905,0.8950165727334098,0.9035290586911615,0.09347124171970146,0.0935809480825536,0.09331160323354679
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.8672670334208857,0.8583594786941292,0.8855819828366387,0.10093765568054182,0.10076379652390789,0.10108363151796607
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9272353446719614,0.9317860801069482,0.9174388400701061,0.10580697806104844,0.10532426556676,0.106311551252237
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9060154121512651,0.9204613375055503,0.8763903117205347,0.09789510923597916,0.09785803940354966,0.09789375436446675
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.8748325749531092,0.8948656828222059,0.8352037044550237,0.13816821552335773,0.13645220334450103,0.13992265464219603
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.8897259381690986,0.8951438782769957,0.8779138094573775,0.10036744014003827,0.09937187991090095,0.10143109806189628
