id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.12855706610345782,0.11987173317210444,0.24980573741516815,0.11034229047120325,0.11101098967819154,0.10910435693164636
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.11917237969434068,0.10834326691340818,0.27079431053402675,0.08417365347936849,0.08443398917513426,0.08387398571696306
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.14868011317982086,0.13237765767314622,0.34909698731839206,0.08900405672520645,0.08776167985746997,0.09032983887499094
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.12371798477581296,0.11794320300923095,0.2054252204580247,0.10898642947068848,0.11100375411014698,0.10737481569998879
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.09873421843401746,0.09510644117446382,0.15219888717139066,0.09044342023581946,0.08992368079230512,0.091545782653393
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.08722505292903668,0.08484144783622426,0.12330106562460859,0.09517365607390908,0.09744793306060129,0.09302158135247462
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.13012192594977293,0.12215004662592407,0.2040784957765539,0.09732120691888244,0.09479715193669601,0.10088395603641938
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.12187947286975212,0.10955963117670366,0.2806686897485659,0.09801648628120485,0.09765926196533771,0.0964146930452596
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.10688005106137499,0.100757162427644,0.20303881037199548,0.13111528377999992,0.13042677215214937,0.13169386545494488
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.09151261529246359,0.08770927868707735,0.13301085081667985,0.09516783955935526,0.09796166858588257,0.09293300915639159
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.10088418847439562,0.09598244956564628,0.1520265207148957,0.14417688563323725,0.1538230145965092,0.12901778896556296
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.10819317847580735,0.10442219669314479,0.19061863539173352,0.10233864444530508,0.10146451859915229,0.10333652735641122
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.1355952966203458,0.11996207495585517,0.300381055103637,0.10558637153006317,0.10438001440300937,0.1071620231725217
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.14339954566433827,0.13013320403816003,0.29078523615008206,0.11765719415880649,0.11563016511492513,0.12125996557023598
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.11136637955412795,0.10138481642809044,0.2339721788896334,0.096295432929553,0.09687542562533631,0.09519789657080506
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.13123967996920455,0.12146845846528923,0.31555001013475853,0.10767842759461814,0.1071660995585641,0.1082029683395659
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.12802890188838317,0.11837221957586247,0.2727625212207287,0.10613804906640432,0.1067659067092226,0.10539780658725005
