id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.005357718412012585,0.0050983581716501575,0.00885520600570366,0.0031998583797666694,0.003341781662373854,0.002837689347154617
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.0053568033984848894,0.005208023790876539,0.006705511944802565,0.002401222675107569,0.0026526517985172244,0.00216248292843191
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.006427903810431459,0.00621153488632733,0.008153422110361994,0.003968393365535021,0.0043272937495832196,0.0033983875100499607
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.0039666608758229865,0.003802981527201595,0.0054132208714758705,0.00476370817884662,0.005262808456348965,0.003943658529454305
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.004426096957971189,0.004268655802787844,0.00530190571094477,0.0033037346762994123,0.00338579831722774,0.0030749167870009653
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.0040758220737868636,0.003955981973411419,0.005027727791702705,0.0035704948852863932,0.0038918004300502944,0.0030890089322136733
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.0058226772076647604,0.005693991516586807,0.006618326148441893,0.003638870329429057,0.003878272480511482,0.003263954620066716
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.004799455783404558,0.004391696704783553,0.00919751651728886,0.003611339031746067,0.003564467474907266,0.0036866896816181056
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.003607496058925276,0.00334150072866058,0.006839090365036591,0.005341916317228881,0.00543197430434037,0.005124965318174446
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0031977590168334328,0.0029042439780591943,0.006595639174057003,0.00349376702196109,0.003970934042101429,0.0030964392054953884
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.0037470980403175136,0.0033934064201048444,0.006941832630048637,0.006045447541678232,0.00602014681812963,0.0060492968648229554
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.0032073600984390918,0.0029511268289203613,0.006261938808551582,0.0027129491706130455,0.0027021615531310755,0.0026930578840680505
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.005091590993240608,0.004369707837779193,0.014307513036597356,0.004047825542821433,0.0037191532529444347,0.004774369347975157
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.004121708081982337,0.0035567897307045705,0.014793537176537133,0.0035103384003271247,0.003482533711171165,0.0035062888439609456
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.0031360144276009537,0.0028564570929025318,0.008807781282202273,0.002969516033944538,0.0029871685248221737,0.002886040246928143
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.0037390034200118806,0.0034138796677459556,0.008671262905835765,0.0033165405999879276,0.0033901406100416637,0.0031560164949859565
