id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.018994884792933812,0.01841847391123198,0.02494355119197338,0.0031998583797666694,0.003195141643699198,0.0031572514575972698
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.016170439297498482,0.01563632527130166,0.0219781452797269,0.002401222675107569,0.0026886292946536,0.002162850433773824
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.00987999974153797,0.009223424644311945,0.029535185233408413,0.003968393365535021,0.004295643893693653,0.003451416430283318
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.006211041312309208,0.005852837344582869,0.015269337432258756,0.00476370817884662,0.0052986941053957785,0.0038619469533903474
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.006043218267340897,0.005851580360324903,0.007652950252293085,0.0033037346762994123,0.0034101727116955852,0.0030474987800258343
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.005325848049697982,0.005140842121680716,0.007115719395831527,0.0035704948852863932,0.003932841013257229,0.0030522993356811904
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.01119858061523162,0.01127756441297019,0.01044723881306311,0.003638870329429057,0.0039729496802583565,0.003095042555651741
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.005750207949829873,0.005091592945457295,0.016955652734852396,0.003611339031746067,0.0036150564376760206,0.0035363238367969643
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.0061916070160845955,0.005688336719229492,0.012351074564014233,0.005341916317228881,0.005360660439772746,0.005274055571885205
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.004689266114250033,0.004172043214633924,0.009400282952861506,0.00349376702196109,0.004293739320417854,0.0029548506232602544
