id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9378140795958353,0.9220160728862384,0.9552057161568788,0.0031998583797666694,0.003215811710243957,0.003181025799009371
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9840128546500884,0.9724394157324855,0.9964176127687158,0.0021594562520804994,0.002155582144204994,0.0021630144215707115
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9592264999506078,0.9370221694773931,0.9878515612787734,0.003968393365535021,0.004083916178306507,0.0038528226111613595
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9669536884845036,1.0054777639814452,0.9205261159289501,0.00476370817884662,0.004800864278622221,0.004728758967000183
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9655561839500472,0.9529323914562261,0.9794010271266133,0.0033037346762994123,0.003230088079449722,0.0033755339697233867
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9297274746041061,0.9007821557338564,0.9674411570581622,0.0035704948852863932,0.003414886204211455,0.0037479706130513608
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9882114377287821,0.9472351830193201,1.0413460370930332,0.003638870329429057,0.003610674623348216,0.00366414838496396
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,1.0094145585181682,1.0340016654958153,0.9753312595066783,0.003611339031746067,0.003684326062065045,0.0035280190787017013
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9543971971092556,0.9264061643373446,0.988097758565767,0.005341916317228881,0.005213871017424662,0.005460261234607644
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9670270837152282,0.9606317975352523,0.9728013935553798,0.00349376702196109,0.0035211009922373753,0.003466566639234054
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,1.0055125287920474,0.9960570879565841,1.0135704045397933,0.006045447541678232,0.006979989679626072,0.005355449184949463
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,1.0052661388503412,1.0169082360882868,0.9862319734993358,0.0027129491706130455,0.00270270595048822,0.0027231802743432486
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9530686762981055,0.9359185257357533,0.9723670233032159,0.004015345834271256,0.004096642914045092,0.0039422386865279515
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9855239529565082,0.980987031441129,0.9880915364453314,0.0035103384003271247,0.00359118876286706,0.003429907881978287
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.952118263898954,0.9227619131573028,0.9818471578782618,0.002969516033944538,0.002983885318531959,0.002954847650130258
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,1.0080227978460952,1.0134524514822507,0.994871522617187,0.0033165405999879276,0.00345086008108067,0.003201147510825567
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9732216211814347,0.9753367460624182,0.9632752533399448,0.003197843787409798,0.003179176148226961,0.0032152117106721604
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9836442748396099,0.9823497293483253,0.9807552851592345,0.0038995966981487727,0.003853287123055625,0.003950212210383911
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.979984023271526,0.9942734000641997,0.9587008760244637,0.004477834881154161,0.004511513474663969,0.004442420042147614
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,1.0055001748063168,1.0348734702759788,0.9637509364945882,0.003955487896519216,0.003922093146421655,0.0039882862983997205
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9775032283155043,0.9515827558343828,1.0091064779104584,0.005537384578407254,0.005341888550308155,0.00575626745407211
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9671463160333601,0.9417941768462388,1.0014565670345292,0.003992149172740233,0.003968123766918383,0.004016546649701053
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9824063040230715,0.9406972044559503,1.0342766299813282,0.004600033871502643,0.004651760543442884,0.004548119750972818
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9853347944089497,0.9781414662943333,0.9920430387474001,0.003925831742996578,0.0038908754737544326,0.003953250503562518
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.961182868946073,0.9619043994373836,0.9543615187131044,0.00326077551160363,0.003268483353678028,0.0032519343553034214
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9869267729545412,0.9859226195816094,0.9818557896241583,0.004974784320803555,0.005031142035062425,0.004922223607681596
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,1.012274364761633,1.0104696433586093,1.0106880840762016,0.005134609108821985,0.005102002962054913,0.005166496970951351
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9815058242173492,0.9680774265893193,0.9966797870282498,0.0031849641895520873,0.0032010306448746304,0.0031684901113922612
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.938267966564257,0.9324012972612274,0.9429496540950402,0.005005093332496704,0.0050422128815015375,0.004967119392084599
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9754062937720424,0.9357354680416266,1.0314239784590136,0.004296053609260168,0.004190488052076766,0.004412362444681027
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9740441313610287,0.9517388922491041,1.0039589038559091,0.0035527318701239095,0.0035685565266013637,0.003535409696227744
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9901912450847404,0.9753992863102919,1.0044681369857864,0.005554515011420981,0.005853181017741609,0.00528829228761693
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9572121360091739,0.9195263278217096,1.005640441623121,0.0035693752830924567,0.003600868182278422,0.00353132956288499
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.997124220069168,0.9926789808740338,0.995778828853496,0.0050931078592879545,0.005107954364651021,0.005074284913880881
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9562727667620632,0.9218853504232926,1.0028344415769235,0.0036043672140973182,0.003690549309464406,0.003522011145692282
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9784388729871679,0.9515731740440719,1.0114432190433202,0.002961938402846134,0.002933067840455957,0.0029902722386514376
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,1.0029979596943561,0.9633626259575202,1.055856181611972,0.003738588307365839,0.0037473201818804826,0.0037293905254388213
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.985360007149834,0.9688786999404778,1.0041545456915615,0.0054213996319660614,0.005665653557609693,0.005203484710989631
