id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.006422126793475485,0.005331445274435676,0.018248613089892552,0.002706890456088453,0.0026710641717242207,0.0027840364174245634
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.006503119120077748,0.005353698943783908,0.019666142113029795,0.0021594562520804994,0.0021969771184023384,0.0021143675009862744
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.011959335128510634,0.009666818550239428,0.02870551529500012,0.003129560193050159,0.0031114076421618823,0.003141841965425022
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.005284788005015374,0.0045719437384407,0.014109322206530136,0.003858629567875164,0.004169955181900469,0.0036370565014919613
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.0033953453641697826,0.0031307686313288333,0.0068623219741231695,0.0028364687982115034,0.002780759408782617,0.0029642810846550608
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.0028825142529160025,0.0025524823687753952,0.00767617102117314,0.003030152913882597,0.0031179928671541714,0.0029252991612840544
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.005816772512147659,0.005438833338294454,0.008482378224916088,0.0032209789849155755,0.0033629845118452713,0.0030060025152978983
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.006085890051346955,0.004964922708852999,0.01814250478323929,0.0033608693516003134,0.003410112420221937,0.0031838791286480385
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.004259565143727113,0.003585443257822589,0.014486640524746318,0.0048319248605377665,0.004891956525599086,0.004717702888135628
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0031985040075194755,0.0028344843171136873,0.006732267086535038,0.0031537315009351097,0.003381547696630188,0.0029693242418512423
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.00367648505023221,0.0032698814205797525,0.007550337783393022,0.0063691666371953086,0.006795461291258966,0.005666309439702654
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.0034586400999060195,0.0030835834735247203,0.009846914911734266,0.0026017924999289697,0.0025858585915459753,0.0025985533958056144
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.0068226160114659255,0.0057026018640404675,0.014814064897449878,0.004015345834271256,0.0036576022220884082,0.004764124011462582
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.005931390508920042,0.00474849979404519,0.017016349916766565,0.0032999492158644955,0.003252383034247956,0.0033713994953816612
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.004471567684124708,0.003706139554464978,0.01319076927228233,0.0028561718409265448,0.002914552559011626,0.0027808541862644155
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.005224955437415641,0.004471393248156954,0.01694584615920186,0.00316272388187765,0.0031330793449498157,0.0031894589407347445
