id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.05935467527508368,0.09367740670050609,-0.1404210477144227,0.04166666666666666,0.375,-0.41666666666666663
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,-0.031079013065326948,-0.10748506236924242,0.06884490613587088,-0.9,-0.03333333333333335,-1.5333333333333334
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.3011204818561348,0.33507923204621687,0.028294560971324545,0.7666666666666666,0.3333333333333333,0.033333333333333305
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.2873496447517565,-0.34510507076194497,-0.3303583695397936,-1.875,-1.7916666666666667,-0.16666666666666674
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.4626542856400282,0.5439666264819101,0.15861645938517993,1.3333333333333335,1.3000000000000003,-0.06666666666666665
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.18533989680726207,-0.2116858826445503,-0.22832639917851175,-1.7666666666666664,-0.1,2.3333333333333335
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.16952705283520825,0.19047054479062528,0.07160162301129283,-0.4666666666666667,-0.39999999999999997,0.19999999999999998
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5375786033127578,0.608131708061652,0.1473218736592322,-0.1,-0.06666666666666667,-0.1333333333333333
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.32801934031965924,0.3700103076590927,0.1279412473145429,-0.4,-0.26666666666666666,0.5333333333333334
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.18674937730050628,0.2932880785392368,0.043005946550060806,-0.16666666666666666,0.0,0.4333333333333334
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2603602641802723,0.3306752137318648,0.07071990153563712,-0.3666666666666667,-0.4,-0.3666666666666667
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.37499278368204225,0.490923211865576,0.07803360426820347,-0.41666666666666663,-0.16666666666666666,-0.625
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5050448047554864,0.5413579098354543,0.13686039547963916,-1.0,-0.6666666666666666,-0.1333333333333333
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5940848064345292,0.6917460507386841,0.21553514455803288,-0.3333333333333333,-0.08333333333333333,-0.041666666666666685
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.3390512313916353,0.4748402201553682,-0.10781374837476268,0.23333333333333334,0.0,-0.9999999999999998
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.36651031891606106,0.44864645350584076,-0.1281265639265437,-0.3333333333333333,-0.20833333333333331,0.9166666666666666
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.1687841874847113,0.2674661151218415,-0.1167090710561015,0.5416666666666667,0.20833333333333334,-0.125
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.2855694747463477,0.40267457920246547,0.09591714569582353,-0.5333333333333334,-0.06666666666666667,0.5
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.4656375009970515,0.5395692380309027,0.142465021463446,-0.20833333333333331,-0.08333333333333333,-0.04166666666666666
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.25876574675593533,0.27924058557122133,0.18960367049838533,-0.25,-0.125,0.6666666666666667
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.34178377872450194,0.38222460774718775,0.13832845555894985,-0.1333333333333333,-0.06666666666666665,0.3666666666666667
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.4912979780906175,0.5763391028338966,0.15715590809538854,-0.3333333333333333,-0.20833333333333331,0.12500000000000003
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.31544385279788634,0.4760270844567801,0.01249392846903162,-0.04166666666666663,-0.29166666666666663,-0.25
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5065628409306795,0.5423620582576719,0.2324149871784627,-1.25,-0.875,-0.5833333333333334
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,-0.0307737712170833,-0.04106305436851028,-0.06092545459469399,1.3,1.4,0.16666666666666669
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.3099006823409544,0.3723199362120068,0.06992505811048708,0.06666666666666668,0.13333333333333336,-0.3666666666666666
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4109866263450269,0.49191283067378605,0.06804769338951795,-0.4333333333333333,-0.3,-0.6666666666666667
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.38937309639262774,0.4480682688264852,0.20368813939428412,-0.5,-0.4,-0.2333333333333333
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.3307505633733043,0.3938851620234639,0.057914916123385826,-0.375,-0.29166666666666663,-0.5416666666666667
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.32243011746938477,0.42626173587811206,0.028533038390713635,-0.6666666666666666,-0.5416666666666666,-0.29166666666666663
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.5203114623338777,0.5719190416757064,0.27176564752716154,-0.36666666666666664,-0.16666666666666666,-0.16666666666666669
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.4120236425410645,0.4973546751945045,0.045964264298112886,-0.5416666666666666,-0.24999999999999997,-0.75
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.291230610031071,0.33684662877125293,0.1566246141697761,-0.2666666666666667,-0.23333333333333334,-0.4333333333333333
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.359780665028216,0.47122154790517456,-0.10639396016739733,-0.6666666666666666,-0.6333333333333333,-1.1
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.3313057011811428,0.37249555506507737,0.19134356104382483,-0.03333333333333333,0.0,-0.3
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.22924289279533405,0.2798612425921747,0.02731055455264898,-0.3,-0.16666666666666666,0.6
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.4533778944148821,0.5311747047047539,0.21539357850313295,-0.20833333333333331,-0.16666666666666666,-0.7916666666666666
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.178708204093817,0.22615106940625598,0.10241792717575066,1.0,1.125,-0.25
