id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.00018730072718481545,0.014976692248346907,0.011659563920782198,0.2916666666666668,0.5416666666666667,0.20833333333333337
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.012459150314747711,0.00621490132687273,-0.0026942535014230903,-0.10000000000000005,-0.23333333333333323,-0.4
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.012034300898947348,-0.009174386006162313,0.04289799445960564,0.33333333333333337,0.0,-1.0
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.0018905210102320973,-0.0015115878345356732,0.03244485345092224,-0.49999999999999994,-1.125,-1.2916666666666665
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,-0.0016574113222147806,-6.3614337219256025e-06,0.03117711225101761,-0.5333333333333334,-1.2,0.7333333333333333
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,-0.0012910757842174013,-0.002303717718672875,-0.000320378974412348,0.8666666666666666,1.2333333333333332,-1.0666666666666669
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.016613651178908777,-0.002843545085325535,-0.005968775633818899,-0.9333333333333333,1.2666666666666666,-0.8666666666666668
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.013079941052861527,-0.036278165348702936,-0.0015118263536542608,1.4666666666666666,0.1666666666666666,-0.7666666666666667
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.018256090366533403,0.011982269236707959,0.02312916944339349,1.5333333333333334,0.5333333333333334,0.4666666666666666
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.015805031773299713,0.02836568130899996,-0.008280598601772115,0.5,-0.3,0.2333333333333333
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0010041672754111993,0.00837112357977413,-0.02146951032283056,0.6333333333333331,0.6333333333333334,0.2333333333333333
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,-0.006877120137498968,-0.008110103430139579,-0.017856202580685508,-0.875,0.20833333333333334,-1.0416666666666667
