id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.00234112783135108,0.012462971415241428,0.01369359267984483,-1.2916666666666665,-0.5,-0.29166666666666663
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,-0.013574891986068626,-0.015048609602240786,-0.029723180812439475,-0.7666666666666667,0.9,-1.0
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,-0.003926583990620106,-0.015779160544934397,-0.009746534368635184,0.1,0.4333333333333333,-0.30000000000000004
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.015032414409133926,-0.00933979877848824,-0.03797778760489398,1.2083333333333333,1.125,0.6249999999999999
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,-0.0002877096804328981,0.010637439046091213,-0.014852089449770603,0.29999999999999993,0.2000000000000001,0.03333333333333335
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.006262797607695705,0.005253541477759884,0.01291768994339132,0.8333333333333334,-0.13333333333333336,-0.20000000000000004
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.00476283917010939,-0.032233851330603636,0.00265753102593954,0.36666666666666675,-0.1,-0.33333333333333337
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.0009350095074266262,0.009790947629987282,0.005167925965356793,0.26666666666666666,0.9,0.16666666666666666
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.018399853250001295,0.01134452604548536,0.013935376412131962,0.16666666666666669,0.4,2.2204460492503132e-17
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.0007524885813645306,-0.0021455944704340353,0.0025133913871260944,-0.19999999999999998,0.3333333333333333,0.13333333333333325
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.011772019741946433,0.01782086825073354,-0.004861727240663096,-1.5,-0.7333333333333334,0.4
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,-0.016629989704859665,-0.015839606367331678,0.002839103249627179,-0.041666666666666574,-0.6666666666666666,0.9166666666666666
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.016068416103824555,-0.018872602543377186,0.03882644029827114,0.16666666666666669,0.7333333333333334,-0.6333333333333333
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,-0.0004054904970085208,0.014479005666355307,-0.0037110464861391974,0.5416666666666667,0.6250000000000001,1.2083333333333335
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,-0.011427700078801367,0.00024400474076286539,0.0011276925364268012,-0.19999999999999998,-1.2333333333333332,0.3666666666666667
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,-0.010651742452306209,0.012149085051703916,-0.021935607934006812,0.7083333333333334,-0.625,-0.25
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.0035867708197602176,0.006783330641623106,0.014683006626127966,-0.29166666666666674,0.08333333333333331,0.875
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.0035966235173876563,-0.02345561036687923,0.04236489623004061,-0.39999999999999997,-0.5333333333333334,-0.9333333333333332
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,-0.010893873517480395,-0.024743998811726172,0.018361129525237004,1.0,0.041666666666666644,-0.29166666666666674
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,-0.017694595101178923,-0.03730548653133216,0.034082211245468716,0.6666666666666667,0.04166666666666663,-0.04166666666666666
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,-0.011259092034792277,-0.00827755548464131,-0.052469957065370776,-0.29999999999999993,0.4,-0.4333333333333334
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,-0.00878617884239883,-0.012552136356366164,0.02887152401042901,-0.25,0.08333333333333331,0.0
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.014363232318031136,0.014337203965127516,0.02475644713305488,-0.41666666666666674,0.0416666666666666,-0.4583333333333333
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.00935703105935555,0.03159627792112664,0.019607833884664867,0.625,-1.3333333333333333,-0.04166666666666666
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,-0.0005784696376057149,-0.01490298227256257,0.041704761309176046,-0.09999999999999996,-0.8333333333333334,0.33333333333333315
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.009337749943919779,0.0032248733180767334,0.03556323522284022,0.6666666666666666,-0.7333333333333334,-0.033333333333333395
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,-0.00667674706720988,-0.013603661395996081,0.024395402073961008,0.5333333333333332,0.6666666666666667,0.13333333333333336
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,-0.00433960565463838,-0.010192772943306436,0.027307580176686157,-0.1,0.4666666666666667,-0.8333333333333333
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,-0.010040907638169146,-0.006252914275868878,-0.0398662064470012,0.16666666666666669,0.20833333333333337,2.2083333333333335
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,-0.007366550141983969,-0.03209351450129783,0.03591300697651817,-0.125,0.4583333333333333,-0.29166666666666674
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,-0.032391687637815296,-0.027026760871752365,-0.025619283236815525,-0.8333333333333334,0.9333333333333333,-0.7999999999999999
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.008429656154256289,0.016155750584148268,0.018357470954934514,-0.9583333333333333,0.12499999999999997,-0.6666666666666666
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,-0.008957158442879306,-0.0075779117098608755,-0.014520327178607568,0.5,0.03333333333333328,-0.13333333333333336
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,-0.0025723286408666614,0.002127375117989626,0.012834814214029872,0.09999999999999995,1.2333333333333332,-0.033333333333333284
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,-0.01417717335554577,-0.02390140562428522,0.01083856802061923,-0.2666666666666667,0.9,0.3666666666666667
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.006528070730524693,0.00046425073437365014,-0.01259159885292321,1.1666666666666667,-2.2204460492503132e-17,-0.6
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,-0.0013917143246435087,-0.01644516517944501,0.0016957831108193808,0.20833333333333334,-0.08333333333333326,0.375
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.020909284156083008,0.02171458213806867,0.04002276424549675,-0.5833333333333334,-0.4583333333333333,-0.875
