id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,-0.013929748481279931,0.03069548292705638,-0.18191009995486906,-0.7916666666666667,-0.37500000000000006,1.4166666666666665
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.1348921568713552,-0.17419822029050946,-0.06338427867235041,-0.1,0.0666666666666666,0.7999999999999999
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.28278822634265144,0.343395167645211,0.10814493799231024,0.03333333333333333,0.03333333333333333,-0.23333333333333334
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.06502211920209616,-0.07052758489418036,-0.11680392579435857,-0.2916666666666668,-1.25,-1.4583333333333335
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.44779160113733896,0.49420611525346503,0.20323352583421275,0.7333333333333333,0.7666666666666666,-0.13333333333333336
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.18732251992685772,-0.22803502061877148,-0.20956156881414684,3.0,2.6333333333333333,1.9333333333333331
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.1609295155636844,0.1806955232413559,0.11214492176100432,-0.2666666666666667,-0.6,-1.0666666666666667
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.31947476775891437,0.38233840711529316,-0.014842906707457543,0.2666666666666667,0.3,-0.8
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.1739797160140149,0.18445472361231552,0.17927324057761418,0.7000000000000001,0.4666666666666667,-0.1
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.06744945778521527,0.1331472968999309,0.004960420577308169,-0.03333333333333335,0.5666666666666667,-0.2666666666666667
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.025077014034652307,0.05525669820109923,-0.03922657569730599,0.5666666666666667,0.9666666666666666,0.1
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5610699724364051,0.7004429036926847,0.28439168708723667,-0.75,-0.5416666666666666,0.12499999999999997
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.22182335122217722,0.3061924149279084,-0.18738201282175532,-1.1333333333333333,-1.4666666666666666,0.4666666666666667
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5451425631709781,0.6128618270634192,0.3634548652654285,-0.45833333333333326,-0.125,-0.7916666666666667
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,-0.19193775092780305,-0.11491674737967672,-0.23825574136775277,2.6333333333333333,1.2,0.4666666666666666
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.3359991421303751,0.4280710465162163,-0.07208167526857832,-0.375,-0.08333333333333333,1.2916666666666667
