id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.09406093793853247,0.09332918589459484,0.04862352955548907,-0.02868674266054179,-0.06107865933193444,-0.05492542392105711
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.0578795309913351,0.05210312127645723,0.04986360592570462,-0.07019369760046257,-0.06343837332562396,-0.05930423050978125
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.17051903935428342,0.2066928525899462,0.07471197613783087,0.028393644063637875,-0.004269351941819048,0.07080254001904032
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.01062134285798043,-0.008327780706238784,-0.09237598655709345,-1.001996319827796,-0.8964864771030795,0.08513002117834949
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.25186588654378983,0.26584314394817854,0.14851712111872178,0.3634196908108461,0.19570008325579116,0.13418874577599293
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.03163715055096394,-0.05888815944388485,-0.031034134748697137,-0.4471302806084384,-0.5945001799334685,0.33748496897244823
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.16129512445705493,0.18349902073190366,0.09183583258075735,-0.28327110866793404,-0.3395787046580698,0.12268566236820204
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.2726964337008693,0.3134282129803784,0.1268970247125207,0.03270157093408855,0.04062482350188398,-0.0013232315897336612
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.20901422544126852,0.22520078087502363,0.12971191058219103,0.10488743807239244,0.15109099751877408,0.12871874768157873
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.1579753724182317,0.2196110759326506,0.08213588525547658,0.11699837210523549,0.01190288644996411,0.2509058446673318
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.21558829973583318,0.2176311810856723,0.15907569345137973,0.023691637371886908,-0.048909904111171625,0.13790827020514598
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.2708397393962349,0.3528731243913824,0.09960610297752251,-0.08174178048256067,-0.033775509250170595,-0.24273868618597566
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.30499891927864886,0.33814994460603304,0.14382640020659063,-0.28010293171583484,-0.12576969028581933,-0.06157522286554544
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.35273131597517665,0.4118896097003161,0.17085947499179488,-0.09344117459536756,0.01909992622346094,0.051306573398548154
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.2441543030129404,0.3073204574497761,0.05791144769174678,0.14472251536928152,0.08700604720505217,-0.18884533561150474
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.2575102809996019,0.324811250059836,0.036125180240829786,0.048173124758167055,0.03870248558214951,0.17034252759198865
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.17695761722424327,0.2330652686788543,0.0608519744177374,0.20842481035252122,0.030950468540829997,-0.05074520303435965
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.25753219260967086,0.3029333548426511,0.11240409810405039,-0.07952444095653036,-0.08059787658196448,0.05225556788352772
