id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.0005676078868951088,0.0009149842117018996,0.00026789780173704564,-0.04834684965689333,-0.029669748010359362,-0.01595493298550067
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,-0.0006200460432397734,-0.00014852411267682588,-0.0009295906231236707,-0.0012431338537149466,0.01831936012334972,-0.010330538691336611
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,8.272786414894265e-05,-8.968922583977296e-05,0.00024186464115891136,0.10238592978633611,0.09089303065100256,0.09017656469295016
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.00020414966889222984,-5.269478316341375e-05,0.00024369716073421144,0.10066659722945527,0.09623997500260388,0.07360344408568553
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.00017899070218984576,0.000512922444374318,0.00010737572751568862,0.059217722056254786,0.05809132017565339,0.03524495159736847
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,-0.00011975501113104187,1.127559146950579e-05,-0.00010045173494062602,0.1028166170752473,0.13478333377219545,0.16258086034529673
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.00013779971269636828,0.00013319347018842418,0.00012467124114571714,0.09965871870633773,0.14129198256182385,0.1311375279629248
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,2.0749642105593625e-05,1.8502159529066545e-05,0.000411808041882959,0.02963554651885202,0.0609412694954776,0.09599883813811633
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,8.407177250254075e-05,0.00026941584687738095,4.867565620869356e-05,0.02010534906150308,0.003833123129806858,0.03233012669914517
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.00019433106547387096,0.00039156591200893595,1.5144435589025e-05,0.08465927987536977,0.10612823609725357,0.1111519543489296
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0002963894803969101,0.0004892485490956268,0.00020353238559473748,0.036102721526299286,0.046525061477777234,0.0399564291726494
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,-0.00017038011377669136,-2.3904370444760706e-05,-0.00020135018624004594,-0.015191033083732973,-0.03028858288695067,-0.02339886511297454
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,-0.0003587018486454334,-0.0005165381283502619,0.0002655681112871366,0.01076187850381399,0.016744784486719972,0.013298410072603623
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,5.5517384900664926e-05,-7.340539771924085e-05,-2.9374917659178802e-05,-7.286571759069863e-05,-0.007477844267745083,0.03505751837582315
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-7.553346921877149e-05,-0.00012906349151225446,-0.0002767570674669497,0.0012060907583295662,0.005946697488986044,0.01201065380169858
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.00022000263275096478,0.00025655891142408745,0.00022295249246984163,0.0844987378622888,0.09481694396845576,0.0849040959593168
