id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9986331661818789,0.652212714281289,0.9722375094241237,0.8870136548893747
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9949218314549155,0.6086390276164672,0.9611347948671622,0.972141605894369
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9955899211918517,0.732892191752726,0.9615704736421008,0.8983200841922108
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.996975971654285,0.7301965970394324,0.9234299805435028,0.8409653759561555
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9951559569753042,0.7841325070086074,0.9881850389237636,0.9476353047810233
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9955706562749571,0.8256060886245976,0.9649433916093807,0.938290527449617
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9958364439331396,0.6539023118748021,0.9730035962337827,0.949194642222826
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.996566103925277,0.7528865345357524,0.9885290509858962,0.8934898097349628
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9963131912102011,0.8562932518442685,0.9889410507767805,0.9374732050321105
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9918968220918468,0.8524721600632525,0.9160274689349749,0.8967210185162962
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9908267580241271,0.6871392982974222,0.963958032909721,0.8845918975246667
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9954488963651293,0.458626772908514,0.8910225155439022,0.530971487737669
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9868996978981607,0.6778442277242241,0.934230018975502,0.7454002033174305
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9949111110057284,0.6630511987622928,0.9764488120341639,0.8614332335341163
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9967968470636381,0.518756248016061,0.9382219160309833,0.645066697679344
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9968788649864556,0.5225364863545273,0.938109415561118,0.8916589194467709
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9947486255039578,0.5780245192642478,0.9099663226596254,0.8951541333528255
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9953432566287945,0.6484060697188654,0.924942289192961,0.7764542924404826
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9916432725817781,0.5118218933544498,0.9786079095736858,0.9162086091997317
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9908768073240952,0.5065756061077299,0.9919802901657854,0.9851180835133243
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9981280680648885,0.4233059533437118,0.9666813684568649,0.8497128850019305
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9940572311766047,0.4860607354172692,0.9432374173010116,0.8104686962746943
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9806210287458664,0.6976509460498683,0.974595445070239,0.9253720245319935
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.991837478478562,0.48095421641199293,0.9933663424175359,0.9612714858119907
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9968343677407321,0.66900613773249,0.9880799511295989,0.9504297473563127
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9963233232245149,0.5173724270054092,0.966217314082663,0.8123182873166264
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9893714732146494,0.7960279218681235,0.974515579235315,0.928213084061431
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9965753331297021,0.5107636060269679,0.973890293153176,0.9053561914446242
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9920604904399375,0.5488310208140778,0.9839002991818729,0.9781120037240226
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9878145023387291,0.6251394886781619,0.9730479205153049,0.9475584051650637
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9971318469883466,0.5058244432417505,0.9532375433202269,0.5043953763741813
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9708818788813877,0.4750117222100937,0.9478022863209665,0.9363679442425943
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.979965785345706,0.44511691704354617,0.9461019602065189,0.895414716648313
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9844425332146053,0.6532962824849563,0.965373207481473,0.9462388677676494
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9637382622711054,0.7194130405923409,0.9823957649311638,0.91517203151462
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.989287394470435,0.4887774405892784,0.9757645964848386,0.9689274991441414
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9956518993690797,0.6644709214939436,0.8998667802984843,0.8768447567025431
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.994715214129791,0.3864612178816239,0.9744359355172169,0.8595217707786729
