id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9988851772904718,0.44468499459685423,0.9911093866452984,0.9086953270443491
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9987710774411465,0.37790897705512744,0.9481665324348578,0.9741669044789569
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9978289176324895,0.6089460741392754,0.9662567295958827,0.9244535639713579
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9966397007989518,0.3865455339161478,0.9403347555860061,0.8460558141566373
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9960276754549667,0.7104542249270338,0.9905351946995025,0.9574660015288676
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9976609489146459,0.8602944797177489,0.9645670527904502,0.9379905958589435
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9965292178416679,0.6731369770748696,0.943593168011913,0.9030191806087888
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9961944680991485,0.6268349367011264,0.9846345185476906,0.8641645982837558
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9964109933999575,0.7385977799870862,0.985519168174251,0.9222177608517429
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9941674105981426,0.8261363772026445,0.9270924517629313,0.9145488748388501
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9967988784092856,0.8780293050625875,0.9720562015382272,0.9039274924578756
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.997751167634754,0.6606013746862596,0.900258085267819,0.6557134228287574
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9910598854028918,0.7388816510693922,0.9530791987587478,0.7989807498121406
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9958390571245483,0.7274750702258646,0.9409164389549731,0.7251227266432235
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9979894961908286,0.6005774310301145,0.9454403269228594,0.6740528440354402
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9986004772792416,0.6471390184567499,0.9676912296732229,0.9147079268601467
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9985863310320283,0.6512409718470487,0.9013370598443654,0.9001477273392148
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9958723200510144,0.7383360763753527,0.8734051278893645,0.6865905325007836
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9936920603244285,0.6533736610297289,0.9774435431042054,0.9069071442283302
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9947614720863022,0.6337356763074097,0.993366690419009,0.9827866123622122
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9986332932790347,0.6854670432723848,0.9768918578335334,0.8480876874794625
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.996344274681933,0.5192661051622439,0.9573015342278341,0.848899196600555
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9878469529045696,0.7626883435135337,0.9781632642138312,0.9413178149036727
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9928261360664534,0.5488322218698558,0.9936201386027661,0.9683962261267721
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9966460404744367,0.6693828656420845,0.9880001590381265,0.9356464627553922
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9994208080851937,0.5367095893045554,0.9677310802998034,0.827760377145426
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9986162817022652,0.8779800355735368,0.992318788092609,0.9692768486764343
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9978285734442797,0.47335647562549155,0.9758943045812156,0.9084996128518789
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9932499766177719,0.7904825936710868,0.9861227006364826,0.9777496466745224
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9957544504848295,0.711549823946893,0.918664846520889,0.8801334284725197
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9985710230995318,0.6841865130964052,0.9470873688012511,0.486758215369181
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9913215211862654,0.4366005346819951,0.9748481251874759,0.9545146825581745
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9970313727332807,0.6214421888893874,0.9727083961013641,0.9113157676247133
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9963360728495437,0.7691692135912257,0.9624026609261603,0.938332978100221
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9899426302410098,0.7546709811829699,0.9952709828464765,0.9841547239105666
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.993859745626028,0.500685239097938,0.9795948307849863,0.9616904982666767
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9996617757622781,0.5248880327577432,0.9380534764109063,0.8737625400587625
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9969612825016488,0.46375308051223635,0.9853569306712983,0.8891082204669463
