id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9932622380490724,0.960103905097274,0.9961112634209386,0.9957987580753754
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9870271288134507,0.9733381384376505,0.9987313592785634,0.9988176487700312
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9940040019527437,0.9907627345780667,0.9950420205271908,0.9950446816970744
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9940735837974077,0.9847884290805899,0.9993921142815075,0.9994574391511277
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9931086590392351,0.976980560698253,0.9966771614784747,0.9965835514784751
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9955809794062882,0.9818481321456747,0.9971580396511174,0.9967006906342075
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9950788948762797,0.9819421445086153,0.9961027538948272,0.9971332889772175
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9937997283874507,0.9831802113652524,0.9964900682431446,0.9954642373858255
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9934973790432674,0.9580689700780083,0.9963354013569614,0.9971042667147026
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9973865615303197,0.987834473136098,0.9986045479495871,0.9987024557627491
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9948928179633333,0.974614276542738,0.9553617851752214,0.9741282114061193
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9958148841758833,0.9746885177652921,0.9935265859690569,0.9942506524190519
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9932737302672614,0.976104341154228,0.9950463131425421,0.995767165954606
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9918606044788412,0.9754966134681053,0.997566678367218,0.997389897839925
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.98649790672874,0.9820694265405265,0.9982326487231149,0.9983503009158337
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.996492985768341,0.9764313534621851,0.9963989384455312,0.9970207373182653
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9930227614258295,0.9887228457012265,0.9978166191111245,0.9977969771736466
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9975082130398607,0.986522064948182,0.9987485513222755,0.9986465099933276
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9962007411641027,0.9869864449000845,0.9990227859976383,0.9988771445329385
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9972192833360193,0.9844916057566804,0.9984798986401853,0.9983777942008486
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9926864166154612,0.9831445736498036,0.9893770122393123,0.9833513014767561
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9965750813385419,0.9843565391726385,0.9994586359635705,0.9994438351091346
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.994155383099519,0.986494540325751,0.9942501521838183,0.9949028834082915
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9931616259739823,0.9818208131935118,0.9757954354629498,0.9610592291514104
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9937995374543723,0.9797741727474463,0.9980424634425361,0.99790008404734
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9951134931358441,0.9404582711199675,0.9973066189419673,0.9978374035530243
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9947613100162306,0.9875319126015851,0.9986653279929658,0.9986637768535244
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9956983528307382,0.9908491068848292,0.9987839233658845,0.9988088004652883
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9959025573726351,0.9836390309146668,0.9997440383550581,0.9997623760331189
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9960596490508257,0.9813316899025615,0.9982459739158359,0.9980652145910726
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.997391490661571,0.9881109343766359,0.9991921773848244,0.9992103729260684
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9939715769592015,0.9890548007888814,0.9916873680151806,0.9925631643984092
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9935351971700788,0.9593690716130002,0.9955034660454583,0.9948059212313931
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.993853161364299,0.930209168680914,0.9963216181612018,0.9969697942955258
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9957547818161164,0.9796266651193559,0.9977407634136852,0.9980355715361087
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9945750810362781,0.991287078197612,0.9974588320379473,0.99728586722981
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9936080243985744,0.9825674581904718,0.9988412141743127,0.9989134365160454
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9950094564429356,0.9685792326336754,0.9976173381488449,0.9978069458369652
