id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9937171052830166,0.9546825888185815,0.9975216341805585,0.9978451953108853
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9877821724957454,0.9682665370869875,0.9989342774069082,0.9985856406507141
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9935051748979451,0.9886723246999938,0.9817021271267891,0.9777250475613735
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9922650376473312,0.9703263284219327,0.9988756790376287,0.9989613390792199
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9942970736053955,0.982061044535453,0.9989129141423786,0.9986161935212643
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9952002587278668,0.9771140648018369,0.9886879004207282,0.9911358138787201
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9947079598209979,0.976229794862903,0.9921091572249042,0.9928754120902743
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.99170398535797,0.9735162525590149,0.997237058921141,0.9972777835460128
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.993339783686056,0.9469300991979372,0.9977296221435388,0.9981087527807772
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9979884218880446,0.9867293834224221,0.9937017335506547,0.9944624811949019
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9946223169641936,0.9676471901239652,0.9956312088277361,0.9963227562243375
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9945935624328743,0.9526500468352359,0.996879304331577,0.9973982324007696
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9948682810542856,0.9840829694005899,0.9981325881056007,0.9983536752966689
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9913446631383545,0.9655904511743074,0.9986468851307031,0.9988561152493578
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9866632432570005,0.9814940779610728,0.996552362054612,0.9963731574737071
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9954134221602821,0.949331634436124,0.9977352383808944,0.9975712494863788
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9916228948555255,0.9834818191605331,0.9985570267700521,0.9983833945705753
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9967937627756589,0.9737209548435557,0.9976999974081838,0.9977539195203933
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9958340922862976,0.981201288903484,0.9992826460573001,0.9992631238645852
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9964355013360837,0.9704840355638316,0.9993715927466023,0.9994680717980738
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9888245418649915,0.9625669954899942,0.9966795440004731,0.9967892596709191
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.995212140487942,0.9637977173656395,0.9984200453259459,0.9983888723329232
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9939239850186944,0.9851473795552735,0.998902424567741,0.9990793199446381
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9935885027397151,0.9815641865531624,0.9926947364906918,0.9928405294248932
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9942889587109214,0.9835867877483009,0.999395556995255,0.999135870568534
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9947397839413176,0.8969014633967833,0.9979501418601352,0.9979655128500653
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9930764616749763,0.9743637144392079,0.9985897407841846,0.9987638646546366
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9936294811131405,0.9787156977420821,0.9977107696030832,0.9974389707718279
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9953733986131652,0.9711809301966507,0.999344555090691,0.9993007333790117
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9959304849761883,0.9752343249827594,0.9967534888586193,0.9968575539246443
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9967872761994335,0.9749461406272478,0.9988463992834049,0.9986432463022633
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9926905520555337,0.9832050755297074,0.9973193257009983,0.9975443278672192
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9926279391618201,0.9238993836285766,0.9871855230110502,0.9818261026924665
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9950288813135806,0.8986065867388772,0.9940862385974804,0.992671910463161
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.993921233591498,0.9585099681975898,0.9979266090187784,0.9975561529611525
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9896593805388728,0.9680730958128267,0.998878498875924,0.9990206342766922
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9919872410609683,0.9548816795609384,0.9954664112435433,0.9954034226339649
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9953254261557543,0.952337695972306,0.9977686077078438,0.9967691947291546
