id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9929642582076345,0.7592558451841955,0.9969373164904519,0.98801108523312
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9912730065929254,0.7689262813361577,0.9964508925399438,0.9950339298052355
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.981166187320196,0.8083775499504852,0.97250937997203,0.9587787876786378
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9775944935208405,0.7512418668674846,0.9930194717464881,0.9964197255047992
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9953597409310667,0.6533615944876583,0.9942284239134139,0.9492707703812002
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9923118565234624,0.6262532742208545,0.9786574300510458,0.9877319075271125
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9905132341745988,0.7504711526231059,0.9854719261268828,0.9589246527067471
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9822152249967658,0.7071708835068536,0.9703318589120556,0.879780379198535
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9786237494426911,0.6764459389595734,0.9828746866070389,0.9565863682000308
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9929328237934614,0.8033613037915943,0.9751095799555273,0.9805130488987646
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9920472575935879,0.6672512793550285,0.9453109587254914,0.9234581325188256
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9958087094246192,0.4695061323673791,0.8920162581545545,0.5662003167257172
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9908104962249281,0.9085359249852316,0.9537067127175106,0.8988940256857987
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.991643580336281,0.8784976782259989,0.9805866993966875,0.9310887629381003
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9900912077179153,0.7519559405114391,0.9413934660834423,0.9464699294657671
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9942540214118171,0.6854296977845072,0.9833079917179286,0.969332163603512
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9878470636796243,0.6978523834896807,0.9886891469131212,0.9848076222273456
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9931156939835096,0.7131832235369481,0.9269419738881696,0.9112074559389842
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.980789681469529,0.6710520501499749,0.9878819310891339,0.985578826403468
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9778724571783269,0.7081727485055858,0.9962193165778079,0.9934294369331349
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9926648502886709,0.5541335915527774,0.9626571941245867,0.9624300711124018
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9891690573191183,0.5405101152813335,0.9842076448532718,0.9750720464546868
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9820547792037221,0.8243705301541819,0.9885650204575122,0.9670371710964374
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9831422196030076,0.4866445211251294,0.9956926868238316,0.9839005808269564
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9919727853680619,0.6598567918060408,0.9905765863354309,0.9512750275157262
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9930914828816254,0.5959670690464233,0.9582106308557541,0.9366500629893038
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9886073928530225,0.8325038630919701,0.9803132388225492,0.9675122772148826
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9910991830936374,0.5929948426611773,0.9839566155296827,0.9712544531726314
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9829512476425245,0.8191714358782962,0.9978825162782529,0.992848992735342
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9817612655732717,0.6014034293470301,0.9263266771143197,0.9295637569436193
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9907264691407215,0.7090090042548267,0.9417365643134646,0.8074921713204238
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9853396102392404,0.7848786658533808,0.9916447811950078,0.9881736519736269
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9705294551654864,0.6037731212634145,0.9831311053528763,0.9723096570308191
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9905755548190018,0.8309685857350098,0.989864600142165,0.991502640245561
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9851977673719428,0.792655147125242,0.9775678956732973,0.9196335888580645
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9946888691775819,0.9042517445544208,0.9940720842972676,0.9902147933277894
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9982286695540359,0.9085184011535293,0.9985267316244195,0.9950663757181342
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9839645743849329,0.8640117425744861,0.958427173574325,0.9328525675889635
