id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9991725654110597,0.8209707299364153,0.9455109360941442,0.8045032698318637
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9956343697166263,0.6229547666298635,0.9197334860143201,0.9388326795315217
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9888598022223374,0.6607901180476785,0.9848034968762271,0.9566158108723015
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9973592255592897,0.811249082050298,0.9212264267678658,0.7295647873731589
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9938660522884852,0.7707328672080069,0.9837324425693054,0.941012739118458
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9970095212487282,0.7444079965517993,0.9764247653535751,0.9103279006266598
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9971398720873146,0.8236036707767874,0.963037885712003,0.9180494966101312
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9970910404683077,0.7336572911424069,0.9904797798644074,0.8849890912061342
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9958737996033895,0.5182556591593839,0.9892519328717164,0.8885989337655114
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9944746745812212,0.808515083544893,0.8856977459037616,0.8855752013388161
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9955269473033838,0.7167486503900553,0.9867263950497239,0.8355879577947345
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9951277080674564,0.5378754772851698,0.9453146972066344,0.8165226866678595
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9891158948768605,0.5901909692258179,0.9244548989226229,0.5045262114508874
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9963714589229485,0.525985500160728,0.9464602908616048,0.5139134492960887
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9981280988847714,0.4834546157416108,0.9352126084924837,0.6461340872619554
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9962429993190491,0.6074960448227702,0.8546800444996856,0.7688143187193466
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.998288660424985,0.7368750501495864,0.9185026619572685,0.8144652954043897
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9968321427781277,0.717750785009001,0.8982867793621446,0.7157876490712465
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9930486559683284,0.5436059269417739,0.9795787099549651,0.8981775849715017
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9936672220380152,0.5562664899910373,0.9789084869376159,0.9421390770334227
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9980427006791889,0.5420032768614745,0.9592187719651778,0.6916034457453211
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9959948719138526,0.430632296719098,0.9238999987646062,0.6944730795371031
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9931274671904975,0.6543450067190164,0.9633229991537804,0.8809117417067965
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9859898537226339,0.5469414310273044,0.9792752689171189,0.9120790553133369
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9968476242718695,0.7001655193206078,0.9530626025427377,0.6531760638563533
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9984174495323284,0.5150345506958628,0.9532562533621971,0.5352134453357688
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9903358684454712,0.7799770137372023,0.9648111331583064,0.8687840071163291
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.996725504463266,0.4647118175925122,0.9792302627536449,0.8390996773043514
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9981928164102669,0.5563237848542472,0.9754546201888356,0.9284248156188063
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9965056861630893,0.6005240031469352,0.974952790619892,0.9324062251276993
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9971573807477325,0.40222717850013123,0.959147177329244,0.45628434659506767
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9980203145673404,0.3228981525778854,0.9564438696273888,0.7769904812801747
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9957506028409903,0.4411498915872131,0.9517477422021933,0.7538412132832801
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9862122836877777,0.3046672446249851,0.9490820387510478,0.8191243008061068
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9904012528040468,0.5944912300627173,0.9873439768292034,0.9015048697775558
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9981652265529408,0.5033457512477093,0.8756248771599267,0.892834716144764
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.99638147948898,0.7934983450999358,0.8138885116042877,0.6282461068687968
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9988891993008943,0.5021985567715435,0.9756044981817233,0.8172088511750235
