id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9988471076477906,0.4935017641875683,0.9785298466272211,0.8201524082495324
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9991361574257818,0.39789291489285966,0.9143807230222474,0.9528518498051062
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9956845104047092,0.4635862969136042,0.983260247785166,0.9555449155146233
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9995672197340203,0.6308242113999575,0.9328326905174236,0.7252138817925966
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9983239822365053,0.6016207701571835,0.9855123135977504,0.9486262103626033
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9979160064399438,0.7226050931189821,0.9764503967314001,0.9113803860159818
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9972765659011176,0.6825404836210286,0.9455699208418321,0.8744890061793024
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.998333402372041,0.6803754597080971,0.9885405073548279,0.8792052254774634
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9990819643097988,0.7447252642909928,0.9887559222237557,0.891222014980333
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9964338474796283,0.7926629915841582,0.8758319320971765,0.8878005617595514
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9941668468943765,0.8424285494036774,0.9908276691462875,0.8999047006902329
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9964739250230612,0.6332835509466679,0.9325222132368308,0.8734871098271427
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9939693730323181,0.7183952741868199,0.9403902193569134,0.5840762768420331
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9946926341798409,0.5984623180906535,0.910605065288195,0.3091778886461753
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9982876217435268,0.7027985356563301,0.9244469983727809,0.6156991120977516
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9974232227730808,0.542238482936231,0.9242729236670393,0.7945172254924417
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.998188191148167,0.5827851022308375,0.906649159480606,0.8149735881720397
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9969858392844331,0.796829012868894,0.8478458621470262,0.65314752495309
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9934790694836684,0.6359338489547066,0.9790690236155714,0.8838861290534972
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9963381194917763,0.6026716616816558,0.98608907586823,0.9517968992766503
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9978948756472413,0.716186248676006,0.9753315860012122,0.7508030407204344
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9975816842775426,0.5019086503775174,0.935596018602188,0.713376996985409
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9924711388901226,0.577823003155549,0.9716357377675522,0.9099800762374409
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9899533839580117,0.5024871255102947,0.9858179069712396,0.9501854324895787
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9958278814273535,0.5582623760332962,0.9561513445826225,0.6425590336013036
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9995986924047081,0.49085106158532155,0.9547009917149881,0.5860099092370633
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9993828823723029,0.9215016928613213,0.9891421664866593,0.9368177858543238
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9989048841769473,0.6476461533364928,0.9792839428771798,0.8297120033125908
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9977327466714897,0.8608631957361694,0.9856202897492147,0.9514949787642824
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9974437031267472,0.5579055740225934,0.957054082982396,0.9001618396560813
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9986574213307656,0.5975242069666865,0.9571572963915286,0.42956730886875805
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9993699286063036,0.7444203673384283,0.9778757829527039,0.8714262650203636
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9987129389933891,0.7289160727540954,0.9806006203752275,0.869200427209848
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9988943830563279,0.755055188797282,0.952233763086922,0.8425260208239549
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9963535820907781,0.8415922399928804,0.992606418487714,0.9684202300054983
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9988081075842871,0.3283874532358625,0.8468482091213582,0.8317813733513209
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9995645628838845,0.6495318922071659,0.8935250928485999,0.6099349448757136
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9990430347377833,0.5874264942399557,0.9839894771413419,0.823234720327561
