id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9892728016015913,0.9834030417191972,0.9912527220022666,0.9910866672698238
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.986333780573707,0.9729659485131412,0.9937503899943937,0.9953698748410128
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9970129249309502,0.9867578706082459,0.9972010015087769,0.9971703513781107
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9896330900112716,0.9719361176546815,0.9996924970137528,0.9997216892062627
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.992216837587305,0.9618658354598745,0.9975792986017615,0.9976337350412233
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9937649337369509,0.9738135423044723,0.9948407918387919,0.9947611115195554
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9858415741981168,0.981294084337669,0.9978717177019409,0.9982275117243505
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9957944043185589,0.9370017957254007,0.9974557966099785,0.996723003985009
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9963782002313084,0.9752629603828619,0.996776178305272,0.9976454948775034
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9943197854867041,0.9766090981432407,0.9984165064293871,0.9985759624014654
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9936781576665522,0.9537553971299308,0.9731227235538871,0.9758175439624922
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9929988764066757,0.974991035320481,0.9988256825518773,0.9987848902138879
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9937766582932365,0.9884258501634818,0.9934572401687948,0.9947967879579391
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.994462938249279,0.9823305988488507,0.997437028759489,0.9964173654093678
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9932050967198701,0.9859616041795547,0.9983077772840033,0.9984436733416407
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9959483912005003,0.988921058026694,0.997770021453102,0.9981856283629595
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9946146371479596,0.9651491740557654,0.9969902231305442,0.9971375291707086
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9971017598052382,0.9820566200321854,0.9984658709124477,0.9982664543289045
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.996294817914881,0.9887243458235561,0.9991424336934854,0.9990250669953256
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9953412621530529,0.9804353202879114,0.9979552186471228,0.9977652253228821
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9946850900786297,0.9862146555943619,0.9855698162836415,0.973138251011379
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9971068313565008,0.98560028387033,0.9985536401921863,0.9984735295352217
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9947122808530929,0.9250141841799067,0.9945474900777974,0.994929046596829
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9920597128816533,0.9566439824937621,0.9845480195546721,0.9782138422151989
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9951270798059711,0.9662621176578654,0.995601180330828,0.9943288809561632
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9945976356463635,0.9904273072855029,0.997909980425551,0.9980414171595559
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9961515641616114,0.9929739246936645,0.9973049888198393,0.9972234877672004
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9937868518851303,0.9850054240929323,0.9979125570883237,0.9978706335838187
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9947302299638096,0.98855337091272,0.9994710154579107,0.9994915516062888
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9971765449288786,0.9870295859631488,0.9974617561579575,0.9971993818793529
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9928216228506204,0.9917487131284753,0.9982520615838475,0.9980993997948112
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.996079177344639,0.9707272089546228,0.9906018455534411,0.9919730948731476
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9957268735558206,0.9698197656044023,0.991221377964793,0.9876413676982777
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.991099649731794,0.9771077011595468,0.9960397787540348,0.9962882611050217
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9959477034168784,0.9900604333474613,0.9966327296634175,0.9971919599678949
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9961207069558434,0.9933863386593456,0.9935677884343392,0.9932969190626039
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9946493373970824,0.9631204916288921,0.9968778407264319,0.9972523775473526
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9960896421090915,0.9904478226476174,0.9971284470837632,0.9972037782873818
