id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9883341260267627,0.9778550456165137,0.9949435602091621,0.9950444825618187
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9870196568682966,0.9579322560043826,0.9978958994618148,0.9969955986521369
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9966954279079937,0.9766402776479491,0.9940684040097704,0.9928726519759489
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9877649438854359,0.9612614441849101,0.9985530730265321,0.9986700285960467
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9906991462247963,0.9510083040540744,0.9985927152431066,0.9981172117360744
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9940554095764658,0.9722451897034894,0.9843774308789129,0.9868907477602364
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9862099337644675,0.9799609149061914,0.9801658103230697,0.9828129999389211
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9957518349156621,0.9301531652816681,0.9975680938039658,0.9976400416919851
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9955228773603316,0.9449882766719759,0.9988291650006881,0.9990760998420356
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9936321343974023,0.9701375277413989,0.9986503264028423,0.9988974967914529
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9936456175658898,0.9519501555051229,0.9985013456493581,0.9987268963556322
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9904569369851286,0.9495951133592917,0.9989597700120163,0.9991116324152891
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9923375897876595,0.9844171785689105,0.9968818397520849,0.9974983537493753
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9917745583416704,0.9668336620045982,0.9984862349225947,0.9985915248359113
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9913266190596812,0.9751254377430298,0.9975097917969163,0.9975679496331299
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9943990941646833,0.9777636306371442,0.9965296961108895,0.9965087677577695
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9941450916201375,0.9419280236516997,0.9973884207576698,0.996931848970628
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9965896589052479,0.971632432861328,0.9955581913816953,0.9954655472447542
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9970940599638553,0.9877077009188039,0.9992481805479524,0.9992959772872879
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9945897564249753,0.9693389265810051,0.9990990477947728,0.9992583067086064
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9925101322145001,0.9768114037968323,0.9955267082165876,0.9939610916354044
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9962539771596653,0.9662345417347987,0.9973572347763785,0.9972653378661762
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9940248324042477,0.923194966972213,0.9980557266474314,0.9983762535664348
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9934674338515196,0.9632308010025323,0.9959591762939133,0.996097212897621
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9945810932764707,0.943549519053362,0.9917007101041354,0.9888102430998964
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.994390592261661,0.986407016710284,0.9973987843626403,0.9976208314764213
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9930372533689198,0.9844577392425665,0.9984733963910924,0.9984925218619926
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.993099544994411,0.9772638859854641,0.9975558942577364,0.9970364505752465
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9931974883595894,0.9814762997044558,0.9966632634543562,0.9967150173263294
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9963489934311649,0.9756185342827788,0.9964810118699471,0.996603442092092
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.993568762570401,0.9920791008310132,0.9980620320919256,0.9979339573142533
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9967271978618184,0.9487594419820958,0.9966460276053191,0.9969408527914777
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9954973914618199,0.9480994070628032,0.9845324856767746,0.9732683933371172
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9874583203094901,0.952349593818429,0.9886030581878584,0.9864446627192532
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9935151898697488,0.9806566902577912,0.9992676184756941,0.9991182789624289
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9949871688403996,0.9849650770776983,0.9946990856190064,0.9959618687572355
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9949412690609445,0.9210865120802758,0.9893417924501345,0.9900703244807522
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9936570630668516,0.9738808513542919,0.9984336103740715,0.9976534117693653
