id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9905551196433287,0.6595575241281005,0.9815994427068954,0.9467478622071056
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9928180904038852,0.7397964107754486,0.9867681217815982,0.9792565361440403
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9825431434257228,0.8667383141604034,0.9968131788784675,0.9939639813221632
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9940780984910551,0.827675822998469,0.9888520318317384,0.994196599542988
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9946323620793092,0.4857371547215943,0.9911750251007907,0.9558278940216969
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9949853570606783,0.6449188482933425,0.949764592430794,0.962240573596572
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9969452653714997,0.9288362649851221,0.9849956619062049,0.9578896242134519
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9779205014690107,0.7425750828765485,0.9832254472141218,0.910268310946163
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9878110079785308,0.6964268815909728,0.975601611262306,0.9201357702309243
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9941756686827068,0.8245891648411711,0.969377138737352,0.9834695509371667
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9936375529258816,0.6967860099324459,0.975796981728736,0.8446399109108549
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9926434520936339,0.415180870386991,0.9513173282460957,0.8414558700159257
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9834001060901562,0.8530000733207651,0.9279212818423616,0.7623775519530717
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.977611649963397,0.7439629739661189,0.9478393362404608,0.8262635791143068
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.990102345747817,0.750524287670276,0.934693687694554,0.9157468049010912
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9910575899127637,0.6290052407297624,0.9487465910828958,0.9143648195149265
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9934597150485066,0.7008116810556897,0.9761067582519425,0.9610572394189464
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9951951400988497,0.7217428593778746,0.9083999084827034,0.8746261637197865
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9838983991477555,0.7288168508187418,0.9916953802421271,0.9852738869988826
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9884878908815067,0.7628013053385089,0.9928330892640871,0.9865302752856857
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9962104748826724,0.6745944874604565,0.9710304134969834,0.9708907241597745
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9919304906897759,0.4614742496659756,0.9475936894409106,0.9247504438588245
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9749123923525671,0.5413441271708813,0.9862899115402621,0.9601155449336309
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9733227501623293,0.5309779677015772,0.9913390537740171,0.973568592539675
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9920349917055843,0.600106083929549,0.9366533312474565,0.7494461045977602
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9970462055272447,0.48648045619278135,0.9222416995419036,0.794854437243686
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9900144864026774,0.7727789710097576,0.9861350504309077,0.9465801570841044
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9936279437090321,0.5350651705343289,0.9752097539204617,0.8964634683068604
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9903590434859102,0.7561539787365533,0.9967917105688734,0.9848495772343013
