id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9968161919636835,0.6926086174356927,0.9064103163210933,0.6475184844609878
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.998968443340779,0.5668956350555505,0.8148006156376084,0.7187261027901555
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9981711469343006,0.6115324441914064,0.9650460295016136,0.797865828641514
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9951797944542865,0.6218450793028408,0.9550018962347854,0.9257978161445084
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9936680658061683,0.8103573276540573,0.9883336225190797,0.8633011894030496
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9960158775400548,0.7499956744353816,0.9896434950084289,0.9419861734787655
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9959139480047492,0.8042071388194922,0.8748686570583417,0.7201954304426771
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9934025016072959,0.5837586871238329,0.9792724973699005,0.8112271452791697
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9940095298977946,0.840015354277146,0.9933658881777886,0.939028385628185
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9921185547115399,0.7375528761051985,0.944318202589691,0.9254580548644205
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.989978994564023,0.8282113666257068,0.9922620685513021,0.8717994314731826
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9921364594078773,0.49049742374783367,0.9023276807283326,0.3890245351161076
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9878860033819047,0.8382000464451597,0.9684387213179558,0.8531779907963309
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9855726966835011,0.6635846373000659,0.9209752590631549,0.6178227454548494
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9913736872995533,0.15816237648409026,0.8626535082908314,0.6414828930542986
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9961448407451641,0.5182587922152823,0.9457092174786518,0.850559728424941
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9934935825675603,0.7367817258074266,0.9334776129401353,0.937176291973184
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9707216848229081,0.3987342039173506,0.9754779629263421,0.9070553514738211
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9901210352753974,0.8167126937532511,0.9717679324209424,0.6583892061472632
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9916894241947734,0.6938872191319874,0.9772308489790611,0.8927713602806624
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9938133759774187,0.5747133379187256,0.960481792810474,0.7204855353877647
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9915235230778554,0.5697737502015511,0.9817845407052461,0.9458314748144302
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9884664463577738,0.8522223613985711,0.9726536313660509,0.8693515470637052
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9918300865256998,0.5454322536538231,0.9537562110821547,0.8650154339915672
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9926173427475907,0.7379029465658701,0.9935525230834122,0.963922749508637
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.978582478755891,0.5502597040035017,0.981639980776699,0.9013034267940896
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9806335436082703,0.5342276244569223,0.9835842373587304,0.9739784650502201
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9967347965349093,0.5470529294368807,0.9814718186918701,0.9356320314863581
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9756254320958636,0.6522161132623893,0.8965305104427548,0.8419295659436241
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9952135258547976,0.5718819585687177,0.9896916376197731,0.9641361013628903
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9930748193186248,0.8137671482671399,0.9225460421583387,0.727003406864594
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9918292735966212,0.6275806501467251,0.9599124972121564,0.8634315270522174
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.984194936350945,0.7061201566721119,0.9648698500280598,0.841329483706381
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9915946855923016,0.4585299310082388,0.9506603258651037,0.8166918716165653
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9865247625294841,0.7747192787369319,0.9608608466014075,0.8633649350857001
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9957636770316733,0.2813737463507525,0.9794214217986192,0.9715650969617315
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9895110453446677,0.8311288327612397,0.9203574159919397,0.8853158119955379
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9909870334829131,0.7864728481070719,0.9829785986911461,0.9342495323804155
