id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9976484814706396,0.5629016416478365,0.9797996544472949,0.7953585399535993
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.999000255784759,0.3455968460352184,0.8327448315408004,0.7320135628056552
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9995931563690759,0.7153733531634617,0.9734508093887377,0.8522443771836359
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9973022764931841,0.49072138783576197,0.9626072329758746,0.9399536455887237
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.997234509193145,0.7695748111617123,0.9911539675709443,0.9091262913388373
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9983402984237018,0.8680847362825002,0.9888298773154269,0.9397567942708397
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9976308939425848,0.8807632861449901,0.8262156652865429,0.5972558724705149
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9961955651466651,0.4762841072712262,0.978230868367174,0.8276732120871699
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9981827041125786,0.8630892717165944,0.9847817309125663,0.8814993972791777
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9964586695179912,0.846040253895151,0.8810347097048185,0.8368001018216212
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.997918805555014,0.9167265573855395,0.9924778810383944,0.8987950268360029
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9943230918439111,0.5357937877408928,0.9592116430408367,0.8333500700831965
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9906134587968582,0.7426232937944237,0.9734243070674393,0.8866551540193761
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9885180517913199,0.7027640499443566,0.9149007567656833,0.5464641673800513
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9890536555410189,0.25844100178417184,0.8453836756409361,0.6315711557433887
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9977435353196572,0.49520553330001815,0.9494400301927406,0.7907878210150788
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9956239577879806,0.7487948067839382,0.9281821990426193,0.9339080962679595
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9681419657689292,0.6599584917338064,0.9575497269508689,0.9405519798322279
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9930741428386844,0.7801348219575013,0.9754108569854392,0.6718844949868464
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.995594694382696,0.7899650193469909,0.9691044222758151,0.9198718648977829
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9976688955945557,0.7501656064861073,0.9737192495117096,0.7756497704570332
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9945791851408524,0.6124504678200093,0.9864890419532826,0.9533253088267142
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9920862147681774,0.8443685349031607,0.984363650099511,0.9602509685417868
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9953741368055337,0.5377099722417824,0.9681122236103794,0.9387541879567206
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9964149257705878,0.8964435910035388,0.9958531529727375,0.9792606430352535
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9896812968801325,0.6667015631320771,0.9802408879060801,0.8757647337489568
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.985567779941399,0.8078076345580806,0.9816333332650317,0.9700117690829257
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9976471535463701,0.5365310878786347,0.9808429939840131,0.9309569459917965
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9787846644364708,0.7768530324045121,0.8974638680940631,0.8413676400218754
