id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9867984983101221,0.9855650076221911,0.9941844284714779,0.9946332236304734
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9988221164444132,0.9857278261161967,0.9801959990136633,0.9747601044577312
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9917715037895108,0.9896195882452925,0.9952216653066985,0.9947149753491394
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9933063376725961,0.9917154759035693,0.9951958835188309,0.9952725980652781
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9914923959709883,0.989374807218328,0.9993796296862126,0.9993417311880799
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9953503276799409,0.9936278641988583,0.9974655623831229,0.9973259863091885
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9892783161656598,0.9871694288883328,0.9890518693782767,0.9906896130256698
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9953454784452476,0.9921890958962889,0.996384743687071,0.9940881965060365
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9913073795685962,0.9904345847063029,0.9970214138131612,0.9975538079338521
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9974159630681029,0.9931422146253863,0.9931530081320519,0.9935903810324634
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9978260455800846,0.9967157067979515,0.9794656502798323,0.9686619788429999
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9993213464928306,0.9951621922039589,0.9881912232796735,0.9897715310044518
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9949982633556698,0.9915520940921644,0.9982981907426908,0.9985016519729604
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9966733908286113,0.9894508866756407,0.9894507696037482,0.986914218585663
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9944375457397139,0.9926845859531273,0.996029762051184,0.9955135546009981
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9912146735105498,0.9898604976664833,0.9907276405874107,0.9928461378747472
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9898137379433967,0.9895997039447733,0.9978069223419648,0.9976952172429507
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9903197061654959,0.9900998539087457,0.9988482206454488,0.9986706745629393
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.998558294741715,0.9946472709204631,0.9987126588982552,0.9985476570374345
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9907070164855866,0.9904040231364101,0.9968872258386978,0.9966421001434111
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9979808168739106,0.9901445715442985,0.9945229837085128,0.9919551219763563
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9979156905236455,0.9909086534350586,0.9994399987604698,0.9994094164192436
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9955022872733414,0.99240075069631,0.995964485975854,0.9962681836602197
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9937927018524478,0.9933781015932804,0.9950898621428418,0.9941196366544307
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.994739324454224,0.9927047156961473,0.9995697751753028,0.999489146802588
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9940108475466068,0.9932520671569294,0.9996220256749437,0.9996643922098303
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9939094137567446,0.9933408647666901,0.998626968726696,0.9985264293730791
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9924463363924421,0.9919566103616201,0.9984020162272714,0.9983610608135047
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9988377293004232,0.9938757369355437,0.996815817827735,0.9970167435252106
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.992696824800703,0.9912936491356831,0.9991735130461438,0.9991278184314754
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9963034485549876,0.9854615431875493,0.9987037526973004,0.9985327778308256
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9909947784329205,0.9904229567721773,0.993305043638501,0.9929607076717608
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.99491773558505,0.993036704718368,0.996082048154521,0.9948964318985211
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9905862456079375,0.9899016583163438,0.9961010869216499,0.9959605526975542
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9923126299786578,0.9919144088368469,0.998476015741496,0.9983049204217072
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9912619150324679,0.9906365842487231,0.9967438747516637,0.9963398896102975
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9983774768886613,0.9939284598082269,0.9928663773757143,0.9934436100769375
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9982426045092585,0.9949863208830925,0.9963342056356185,0.9957716134094596
