id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9880148261999496,0.9869884284550795,0.9952360994022206,0.9937523392918848
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.99879883025831,0.9851179543528351,0.9938166845281439,0.993455110346189
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9933667717703328,0.9920640946048956,0.9826528609240991,0.9754051351313472
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9933330582280127,0.9913258955772167,0.996542210437554,0.9969081545711405
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9911402520138829,0.9887122751547872,0.9993925055961012,0.999302661184352
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9945517334528169,0.9912426566460749,0.9905262755115181,0.9925155430803417
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9892255512558049,0.9868657147899966,0.9146420916995485,0.9308057949120515
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9959586203284324,0.9923633305485531,0.9964571688931494,0.9968136418304678
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.990716379634676,0.9901858992160683,0.9992048575135677,0.9993734851949105
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9977302593157333,0.9939021986039973,0.9943332584721697,0.9948733780444928
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9963076652660782,0.9924375051393012,0.9967950411091508,0.9966749934801593
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.999187599619488,0.9897230882835535,0.9985392235921167,0.998741508758997
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9951743033988392,0.992961339789305,0.9971908056285785,0.9971793068450726
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9947685444328864,0.9748373578672609,0.9973295277598705,0.9969131088770106
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.992847912815254,0.9896063142438141,0.9956615821537629,0.9960442365273454
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9919438736908551,0.9912686860793951,0.998448777993399,0.9983422497538891
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9903472094222177,0.9898243443786484,0.9981941035150819,0.9981494882418489
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9900572654042417,0.9899252131135565,0.9963232672854601,0.9966475117913162
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9985181696257537,0.993166609222219,0.9984303967906738,0.9979123163004981
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.990245599725284,0.9898173686182835,0.996631216093802,0.9975201807771341
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9971317510659852,0.9797274817365946,0.9975511995955905,0.9971121964187561
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9962089828632547,0.960722821684081,0.9995036623986195,0.9994871671324416
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9944246147475948,0.9883657290925622,0.9976404882687038,0.9980615183038708
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9935698232859854,0.9924658890840384,0.997573699255838,0.9976319312246071
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9949629321589192,0.9926107944831206,0.9987600589545511,0.998411785565261
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9935973814511083,0.9923934539455298,0.9993136943732563,0.9994193748134077
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9940798975956633,0.9932516310259885,0.9959976706631094,0.9963428084372288
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9922662878159567,0.9912789058417221,0.9995802354598117,0.999582361652952
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9986385309240967,0.9871325761232913,0.9920798936518253,0.9920633433357405
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9932357903114578,0.9918515435450217,0.9983736290511296,0.998283045560873
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9949985392521316,0.967899140210378,0.9963271116064014,0.9954486075094396
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9909031327486468,0.990500122044426,0.9974068261727117,0.9978028749718567
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9940581661189594,0.9915560220667611,0.9840260186934674,0.9746077629984162
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9891019783701923,0.9884333914533453,0.9894468001099559,0.9871192546895806
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9916578593457098,0.9913080665931342,0.998616965817742,0.9982825130866617
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9908072617880986,0.9902483374072629,0.9975539297131235,0.9975645475123059
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.99723724039585,0.9746384916375916,0.9942475691857209,0.9930059837570125
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9971921981546786,0.9857302295413335,0.9972779577685567,0.9960665963672256
