id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9955011446184023,0.8462334839383746,0.9902003056042888,0.9603327293069858
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9624378077670009,0.8705013112336313,0.9089723821115739,0.6994954305033563
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9937229712535208,0.8527843898855366,0.8271108266741327,0.7970465541878539
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9798087061940607,0.6692423955385238,0.968734160797581,0.9816647406063698
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9914631541266461,0.5601059353563436,0.9874984648022409,0.8140603163965434
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9976472002304249,0.7967560708586211,0.9926700813863555,0.9866151691018901
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9893021979331996,0.8804740403990928,0.9493830975671362,0.8404371415733495
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9869369836030668,0.5828880557127939,0.9476549125454581,0.7653225885663127
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9925848781102872,0.6715873807886683,0.9830957208788765,0.9263857444319726
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9963142898077019,0.7951695800091956,0.9510523971387775,0.9508794175860035
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9888135675871375,0.7362536720881138,0.9858720275508186,0.839783884460901
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9902749948327493,0.3934417188877863,0.8826838855915452,0.2690220144956243
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9896323138804545,0.9183445848693839,0.96605457254548,0.9087319026870865
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9781154987220659,0.7555812318404296,0.8575715781322131,0.5382828418594229
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9752307783785952,0.6240135016256833,0.9342107867622873,0.9170470042745943
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9905168548093526,0.5657483254613671,0.9557091142437565,0.898553352995996
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9905964328390401,0.7410962280608939,0.9833989441420582,0.9774266036144804
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9557219023896409,0.541439767847223,0.9387442100720864,0.8209596729039468
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9857885705260235,0.7819707949460618,0.9075362331215551,0.7421583278612132
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9870391770167519,0.780517176513445,0.9592797549322144,0.9426580341299896
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9901763504116478,0.649627118733991,0.9672424657251641,0.9661811056283568
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9932341036696024,0.6030650254575651,0.9937743980904008,0.9839163357944567
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9843374633618728,0.851652231416498,0.989723216655958,0.9758376012804648
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.99090890266366,0.5932237784482086,0.984754445017234,0.9654483873972084
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.993476989018087,0.910220262054396,0.9864267876016524,0.9670057124173583
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9652629523121948,0.7484111952126721,0.9717863753553103,0.9186040219147118
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9814254097993564,0.7041976707607293,0.9700863110285975,0.957704968855503
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9934377784725955,0.5030578328078414,0.9882086758076236,0.9724629274825263
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.958098543091313,0.7617803836874756,0.9669423155661051,0.9438972927324014
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9932405817105762,0.4649602549038831,0.989470662851221,0.9657247298288214
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9824498809387172,0.8992120512228118,0.9198118632188331,0.7454630297744289
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9895635541456976,0.6830496005332456,0.9697031747616597,0.9417921221863123
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9874116758565303,0.7995724985889764,0.9722389363290777,0.941928530743368
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.98316274752139,0.7367926240675877,0.9601876455289254,0.9600363555400901
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9936747958647659,0.6909509908198048,0.9825974043876119,0.9357052944738664
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9893580982412856,0.7258730668401081,0.9812132839890114,0.9676159812144413
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9865477367471541,0.950246637396923,0.9453551347433419,0.8363535069241301
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9943380009975826,0.9453086488105557,0.9433288144255685,0.9052214272566493
