id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9976220700277524,0.706762261592423,0.9070863616022826,0.47381197697310473
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9988036543886373,0.5708012340946413,0.899473382053215,0.8794447659358735
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9969452319803703,0.6909169077988173,0.9893694031881368,0.933580984098231
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.998126706140074,0.8021774778345014,0.9431032348488262,0.7753891223638112
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9901730065293328,0.6849975358799684,0.9841932180894055,0.8123770882401383
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.997714497196741,0.8303377293983836,0.9914340139398008,0.9513748520455703
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9929758194229018,0.8564560357582642,0.8854526320664912,0.7294875477294345
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9965855855887428,0.5301693816016018,0.9815798828413549,0.8383711743227205
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9981558442913898,0.7543640063597505,0.9839513257716906,0.9088158503033718
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9956110716879112,0.8441317743391609,0.9633361537167562,0.9672325751381692
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9975615338796641,0.883039177266532,0.9940743399357409,0.9355178841114205
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9874482311696489,0.45373292929205006,0.9494054706256645,0.33161210756142356
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9910973759757313,0.8929184556154529,0.9816866674594478,0.9356818495578229
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9859974675441345,0.4577215444868191,0.9354821953236848,0.4514954485359578
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9895341163050111,0.4557264266031366,0.9472774581738852,0.7721740864834489
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9946041653059906,0.47486907177063414,0.9229038871153297,0.867055682724642
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9947636705261467,0.7336476925326911,0.8985583175146168,0.8787738158233306
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9826760539866206,0.7464235354753141,0.952764698433577,0.8999754718699563
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9901656297609309,0.5796691595012851,0.9660338197327755,0.8204436621820246
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9962019434044149,0.7963817663500724,0.9749323579653086,0.9180505389812335
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9902852685058684,0.6304121821534874,0.9620402714586745,0.6987701086965686
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9957837904267012,0.4562657616496768,0.957480956933889,0.8514316172716864
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9912062704755351,0.9143340852946734,0.98157593385235,0.930195289963677
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9928319525916831,0.7250749750640499,0.990124232880149,0.9535613287749118
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9872254377376356,0.7330549982996252,0.9872958043563544,0.931259301311609
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9908528859495586,0.6230665368254733,0.9808230287768057,0.914236446868273
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9890973332795194,0.422083336419947,0.980184718309807,0.9529398979407465
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9962482327139784,0.567538954849054,0.9767844072599959,0.8766658257779504
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9944995183069789,0.5474233962552301,0.9612308381485354,0.8085994756413271
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9933067431062401,0.5613317739195991,0.9930194619144008,0.9845842340538236
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9831987371406933,0.6345184534988486,0.9408547108412908,0.6249201123597238
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9982982201318011,0.5357972654716252,0.9636727673531613,0.8916346323931131
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9911609083549556,0.6829802420644644,0.9437368882272203,0.8931177797503477
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9956575244434814,0.4970050903174428,0.9556804762786194,0.8038282460478497
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9935149438691977,0.8407722474101127,0.9737643053269692,0.9039817288553419
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9985456372743737,0.4630895579440697,0.9826982452535137,0.9801565027877821
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.986153934483404,0.6344057620165975,0.9322717392896485,0.9059182095935847
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9835440062774501,0.7259393660112579,0.9654587979738912,0.9244161884615281
