id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9976154259780109,0.7071636508640521,0.9768845616610318,0.7002217853055651
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9996608350624996,0.5005568193892004,0.8964538227402885,0.8970499819651949
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9994765947067472,0.6790792030635209,0.9915404366800937,0.9611260774336554
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9984155803763638,0.1089313872661672,0.9447777325508655,0.807487024070489
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9966732367894994,0.6517169629829719,0.9882169780666115,0.8800728580394664
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9984697623970399,0.8624190725914879,0.990951745491332,0.9502946072706914
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9976720400960027,0.9340894754383472,0.8352036367690385,0.6007660846721778
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9978482273016984,0.4952016779510358,0.9801223285788964,0.8517168092525229
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9990033114401923,0.7669396417567594,0.9874191429423244,0.9333576936696439
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9976779040803615,0.8519380669914152,0.9121334149228549,0.9316657309247177
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9976072715501242,0.9172866741075115,0.9943241243385039,0.9523988842631331
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9937504299544327,0.5727023834832086,0.9742725038889474,0.8323456837466107
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.989860740248385,0.866009323122554,0.9849671174080146,0.9523596610121664
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9896558612931532,0.6869381670287947,0.9252665557456421,0.44701529206426127
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9915917720619899,0.557320116665874,0.9344497574334375,0.7583480368575112
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9972039174917734,0.6005628286716427,0.9474476557520195,0.8350162639410976
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9971569681803734,0.7932360502386003,0.9013848137748796,0.8957794310681536
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9895579406966821,0.876872132880277,0.956527745615673,0.9268801685259923
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9943530678222072,0.666619565674082,0.9709113786851354,0.8495461919361982
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.996792562711835,0.7665662666724752,0.966576994326567,0.9333998977196795
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9967820801179347,0.6854148514411035,0.9779489836480622,0.7915123184697384
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.99680627984671,0.44314898260501795,0.9708124484699077,0.8830733645200805
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9858105092248773,0.8203343973319436,0.9904500245281769,0.976559502150046
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9939080422641395,0.46150827413201545,0.993329166047594,0.9778896927072415
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9937874289652062,0.8633400527572069,0.9905686994653445,0.9482486525943106
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9964559106172135,0.6341310663099757,0.9727543021701006,0.8942077653098474
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9912163480229269,0.666412059360383,0.9844195614684204,0.9560050699145903
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9968690367357337,0.5831727375346307,0.9821767284360048,0.8949881243964352
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.993849832755021,0.6824542973684183,0.9646247936735772,0.8310551520412013
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9968728432185143,0.5518924778087813,0.9915276244658383,0.9803682716363471
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.995389301097809,0.799478817832055,0.9467186100608604,0.5850468150375097
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9986991496703372,0.667556769492716,0.9751974257254497,0.9099762230924082
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9967389898675699,0.7379161917681464,0.9656273350775542,0.9065104156043412
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9981136298535549,0.6167497867709445,0.9554055604554967,0.8027624596812526
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9979011396226491,0.8992526722926434,0.9620838660052183,0.9047797328381721
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9989080039317608,0.5843640590188298,0.9818653142472294,0.964224713139716
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9939607165936581,0.8238835090869848,0.9258121066556515,0.8170447757279061
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9923557452945261,0.6996864352263801,0.9321288751778931,0.8773918478159097
