id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9921513336960855,0.9902903892652328,0.9900470316509332,0.9893318610483449
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9844790824068423,0.9823732981624359,0.9962466075622738,0.9963914241954369
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9864160649858186,0.9864436306256334,0.9973285731514421,0.9970444578807913
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9903705495124421,0.9892133837829753,0.9837894222220251,0.9825390019266524
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9966339728325305,0.9777842441354483,0.9985465055119109,0.99857820404453
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9947843622508975,0.9919509593573133,0.9970566453684447,0.9970060498956163
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9943172727014472,0.9926076240686548,0.9977940129108046,0.9983274618124237
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9913912610227291,0.9909912861548843,0.9966939375201059,0.9947319965504046
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9932684756676194,0.9928141721016465,0.9982087094214261,0.9985093752224812
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9908431022566297,0.9909570196164046,0.9960607009238416,0.9959858096669214
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9966791242462177,0.9953789591478642,0.9881201508031842,0.9838096924597042
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9976946966962795,0.9947544865090622,0.9968553551732056,0.9972689343956364
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9941550763691859,0.9871307527871629,0.9991767670444266,0.9992546400217555
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9906940937917624,0.9905755508103538,0.9971657780614923,0.9963714758594361
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.990273312176749,0.9898845647891199,0.9980196511669559,0.9980690782227801
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9916018374245972,0.991190473254675,0.9939736331889942,0.9956126202562694
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9901398787279553,0.9898629537623019,0.9956310803238972,0.9955127122672864
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9886057062111973,0.9880471994184935,0.998763825530165,0.998595527211625
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9899454532764005,0.9898756917807587,0.9993621361273237,0.9993153516386566
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9913458718668857,0.9905345260994215,0.9965766173793107,0.9966992064544091
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9909369314431585,0.9905012341176339,0.9965829263014642,0.9949438747173562
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9925478942627134,0.9919098674757114,0.9984488488775175,0.9983059305305765
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9943978921743779,0.9937179337216755,0.9974795998202687,0.9974611498669719
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9977048543820101,0.996135770218698,0.989892236545991,0.9864047582685083
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9967556469496254,0.995402072492365,0.9994735254305336,0.9993814990508866
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9924587268953743,0.9896316717735304,0.9990643444340541,0.9992234543212741
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.999418819953084,0.9949773439419037,0.9987843349143091,0.9984812465729394
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9940405310804274,0.9930335757697174,0.9965146069927205,0.9967319359804862
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9908816507915094,0.99103252600637,0.9973941572813778,0.9975718629173889
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.997264294474184,0.9952971448695741,0.9982928907175634,0.9982770039538684
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9954256253245516,0.9944721734481835,0.998431570948488,0.9982936660563255
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9896456768935648,0.989109872406349,0.9945106671101724,0.9945695334046184
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.99182247726379,0.9914688079156788,0.99553168119635,0.9949417596947792
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9915602641093489,0.9910677071058803,0.9932052274777179,0.993365597864216
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9933107293181058,0.9930676381007008,0.9980702517215547,0.9978402820094475
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9946859788368984,0.9932977243795471,0.9978293282892535,0.9976393958751186
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9922259314148529,0.9912876855232564,0.9964085534370186,0.997026302447155
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9904916835105484,0.9902598619688546,0.9947609679269627,0.9945738395431263
