id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9930172963800256,0.7909118636665983,0.9790928403814885,0.9174319398914755
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9940595069305854,0.7436668700963668,0.9728882892053029,0.9275929617280994
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9902499024128542,0.749375412633072,0.949809839284174,0.8839575488558189
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9841918378950273,0.6991289022980696,0.9558628468367919,0.9673548834831376
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9906773670589398,0.6143638676409179,0.9757322978647309,0.7004887965535526
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9981962989744054,0.8020800063338853,0.9934768439453036,0.9870394363970781
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9911931707758765,0.9061734663040003,0.9604348602233953,0.8972926547007269
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.984328994263418,0.6012819270610554,0.9529589007483589,0.7463725008645725
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9937466724701505,0.6814781523524829,0.9852616801359901,0.9609190292081508
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9960969449368917,0.8297104029388721,0.9709281736065604,0.9781736312706527
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9975670894653303,0.8964683190660085,0.9911144405865903,0.9300641886288499
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9845574144036372,0.34828396584904897,0.9219535276296946,0.15361941497932158
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9942333120757444,0.9251828570676733,0.9883493055970894,0.9703973537654512
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9749083660278449,0.5899459442111072,0.9078563344743443,0.5648069985750094
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9899406594943931,0.7440884903651483,0.975205973567057,0.9711297773536475
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9926123601485803,0.7319505034807139,0.9655281279559401,0.9334791491079795
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9947276760616487,0.7366255670931429,0.9672618936996635,0.9526857328028763
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9849321359046049,0.7895258649796256,0.888428377273356,0.8888448917039311
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.983912199482609,0.6423535311881207,0.9765645057635318,0.9636380735301456
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9927766607241391,0.7799495161511713,0.9773618055671512,0.9663240580250887
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9893485261937973,0.46511679952516766,0.975907570154646,0.9688106456540981
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.993299855153623,0.4599650491665995,0.982959960448314,0.9567942628582101
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9767929352801141,0.8699032478253871,0.9794992066012823,0.9494656522049557
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9886171176967413,0.547691990855053,0.9951417578981799,0.981940237783277
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9791080788940765,0.827994351848155,0.9878055996329913,0.9623425995599668
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9873825939682891,0.75098842187829,0.9489343888700067,0.9378339722412619
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9846180202368799,0.5134135345617186,0.9630727657361776,0.9200400719523474
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9911156931389083,0.572765687042304,0.985389903688771,0.9563964141201664
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9863451749573919,0.7158892115492781,0.9750365295601356,0.9256755301882782
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.994714989405856,0.5197650456601988,0.9859681076742431,0.9637906227393149
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9888868150647008,0.8923130500433007,0.9271955441242656,0.6176274710076903
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9952846309996732,0.787512632464315,0.9832207025337097,0.9705879667016775
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9922539346085996,0.7640275909213021,0.98994499459255,0.9821108829068566
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9902609533487233,0.6682854476671397,0.976389607913005,0.9703874319802257
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9942930603577468,0.798247590781458,0.9797587343511169,0.9371918604334426
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9953404211266285,0.8920976679720874,0.9903547497050263,0.9874375737811653
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9851052463080097,0.9311197475375329,0.9685817502615076,0.8540094698186008
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9791858393483829,0.8541198436247783,0.9217320151823847,0.9194895682345576
