id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9978934564241606,0.4818669025111782,0.9917374620978221,0.78132495818142
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9933157165014466,0.7554404263390305,0.9814820158508282,0.9781863895228943
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9887288026312894,0.5980249331967361,0.9585389117295415,0.6101241827670586
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9960924947530707,0.7758808110384176,0.972349573001725,0.9611155340163737
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9976121789544371,0.797415167029155,0.9460551185101048,0.902171984014318
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9988355130573806,0.9536986146562496,0.9736766958428162,0.9242658824338911
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.996323364251563,0.922637869585779,0.9713073238327427,0.9470100632701076
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9984371407105772,0.7601708176723463,0.9822651626658241,0.7422039977524215
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.996667203100897,0.8203628766390854,0.9895823787188026,0.9366500491907519
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9919658261121768,0.7862187687753287,0.8876674588850075,0.9299647912320008
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9993466716405016,0.9679562253866274,0.9876085962862186,0.9575535437038297
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9936314124770506,0.7109185788811607,0.7123692410495752,0.9044737096637167
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9932473135978355,0.7436901804097409,0.9751816357375804,0.892235974364175
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9969912172121812,0.7614236209825196,0.9469912564877994,0.7918003847437117
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9982614941645247,0.7295279769496169,0.904494064341304,0.6225592157868854
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9937536737084511,0.5724487782880262,0.86048446183215,0.896833388476259
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9975080396904503,0.7211883185059043,0.7253752736787007,0.8632606339688134
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9947587667061738,0.6414871828558812,0.9551316822198039,0.8332567068313549
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9986025129275069,0.8637595623440683,0.9567306714128194,0.6043817792959094
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.997600935749745,0.7092809864043704,0.9845876781012666,0.9679367249227853
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.998964789812863,0.7163658299066983,0.9783506108794094,0.876856412311101
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9967459426831751,0.7474382745760348,0.7450839297629329,0.5559936842636644
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9936383244169289,0.8076860870209861,0.9282076142246851,0.874719230216696
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9927442049099737,0.8018529889784165,0.9618826526003231,0.9305646080128793
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9989487860414421,0.7700030637780599,0.9952580708793699,0.9712563533853372
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9977973031032535,0.5610985456817178,0.9911244976332283,0.9438761650735985
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9983246765307107,0.7466838309317054,0.9899701701833273,0.9738074942120187
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9987527795499441,0.7470442538924131,0.9210534007686484,0.6334526391021299
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9991726493633413,0.8398536499231515,0.9759849056547327,0.9380546532556705
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9936858831395221,0.560041244317085,0.9629427946257699,0.9244317172355878
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9960377902738154,0.45943609021704196,0.9486462652317209,0.7523257880334225
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9928511188878241,0.6762565940141146,0.9771204493845762,0.8972910331509952
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9929876228271698,0.555023798309463,0.9781376975438001,0.8479859763873338
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9944955008531097,0.45066187001571095,0.9520000819539712,0.8968360441467526
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9917060893963671,0.7943967519875377,0.9854616649280782,0.9314303005745808
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.99860116214651,0.6687339382558154,0.9340394143048305,0.9117226987822438
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9791088638351653,0.4791175656459746,0.8685809599828539,0.8441001271836657
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9983046718668359,0.5154926698408544,0.9708474118261836,0.6618094615456432
