id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9984595890538733,0.5073593004995698,0.9969506882660422,0.8986351121534163
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9937194586441648,0.5259249751991262,0.9749761728995707,0.980951010409265
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9851716061172717,0.3962293411814128,0.9713377192207469,0.7743944438209687
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.997987530464957,0.5958932227897697,0.9790570369240855,0.9650183938458655
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9979511092530057,0.553014855087203,0.946122701939216,0.910557607725081
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9992322134766637,0.9460504087326174,0.9704144106268171,0.9199944437816422
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9974158783794674,0.8872461097192883,0.9392360236133409,0.9053460870654217
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9995755560541344,0.8291963078248935,0.9786951734509204,0.7283591639461274
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9979877593541477,0.8584157756283085,0.9918832436464717,0.9578293959339763
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9965305210193215,0.8954431252899767,0.8588012364082546,0.9265317596664604
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9993586698834135,0.9591870431682258,0.9841656398537394,0.9353017512131729
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9949371262854181,0.8012677970036873,0.46160095195876905,0.8709280996814228
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9960603834098599,0.7121646346820992,0.967025471166473,0.8870151637093043
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9967242893934338,0.783817674787172,0.9146440101339245,0.7650169696350017
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9976277833431332,0.7953796137806909,0.8856615956606106,0.6263474250827187
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9978905955208816,0.5446651349566933,0.9529765453862533,0.9316927151025514
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9971395089728309,0.5872952792853207,0.6894091761138377,0.8653141250011297
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9905789230030833,0.5478469579924047,0.9372953148596528,0.7723202392330758
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9988573753698131,0.8762899858481437,0.9538555648996654,0.6359014978871148
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9979955482727934,0.6385781150018489,0.9777193176461567,0.961369937197432
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9990556192368164,0.7660010748258061,0.9853570207416483,0.8838145023661594
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9961883318770909,0.6788954227024049,0.7722485760710684,0.564524431001762
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9927552776892962,0.7001933840454292,0.9451862610099632,0.929127592652757
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9967131412006858,0.8313219635009991,0.9392660587903753,0.9184079600279457
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9990837488817839,0.812405728519483,0.9951059057520233,0.9671736683140233
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9984120046788766,0.32969881168988785,0.9915299291151125,0.9536553475765338
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.998990045483537,0.7450384454342277,0.9926174638594035,0.969686844716418
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.999239947892636,0.712977360888554,0.9293231845962702,0.6515412902903178
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9986133479020698,0.9086352861533697,0.984715378077009,0.95420451602612
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9969864269143816,0.5438123997301295,0.9486753381718255,0.9178117106680446
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9972249940206772,0.5114736420417229,0.9547824545441054,0.761382991328206
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9969442241111769,0.7130363576196622,0.9848594906321828,0.9291383311663723
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9971456443857697,0.7287323824192403,0.987661226951824,0.8948975483646547
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9988850071960036,0.5372813444687622,0.9335921511433544,0.8907698549882493
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9988537228010235,0.9115409752322894,0.9957282943049719,0.9851604034971655
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9991085597188291,0.7469707008793885,0.9752779798236815,0.9201507203301619
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9947190744697059,0.4575703665462895,0.8906721448178593,0.7858657262850169
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.998917386492995,0.5073294757425744,0.971978438941915,0.6997359452232855
