id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9985046705417044,0.9905689164768248,0.9987600142863547,0.9983501222158923
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9946034892770785,0.9845112981875295,0.9991698819588305,0.9990878949390142
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9976733452351437,0.989885989792958,0.9938034598225538,0.9907363031998564
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9909946777162347,0.9596626822920885,0.9983972796242724,0.9986320991241321
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9974264734973409,0.9952767463687516,0.9952631177563593,0.99447518309272
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9848087261534899,0.9843387512145801,0.9975815482852901,0.9968159619020391
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9975057842814382,0.9663621084060418,0.9970294083136353,0.9973654412685733
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9911735712466802,0.9893153711524515,0.9959056014333354,0.9951824003081208
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.992928446515554,0.9933046499830028,0.9978331276087523,0.9980722243325733
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.992669482809333,0.9926812721928622,0.9983883924598131,0.9981465131447206
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9921911990979405,0.9915663578577186,0.9828128033551353,0.9920635295428903
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9937588153884636,0.9937697278608096,0.9984123027052653,0.9985531467958817
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9915822082270385,0.9911301779019269,0.996930110070037,0.9972661930912249
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.992208212462912,0.9918210474802821,0.987807838399251,0.9875810302853674
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9977851985684958,0.9957308550839962,0.9896182703006635,0.9929424661859884
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9968978228146864,0.9735593424817014,0.9989640585273174,0.9991392365213471
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.996634263649369,0.9957787409092628,0.9967404839825067,0.996209033838644
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.993787611220791,0.994441240717949,0.9974221607630225,0.9972687125681827
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9960116595353585,0.9953208090818065,0.9968791706548101,0.9969245189210754
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9987257027281902,0.9976458640912763,0.9950439118857021,0.9958921366017981
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9989885705523177,0.9870323283472553,0.99243569819193,0.9892681512988851
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9949956552063345,0.9941292780973974,0.9931840652892832,0.9931244436203337
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9959341035855274,0.9947758567197232,0.9941398269352529,0.9947416670682269
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9938429196138553,0.9933847084196329,0.9724079903779412,0.9705551264617431
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9983585230993453,0.9856129503655792,0.9997296650295284,0.9997080250137147
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9965619294315219,0.984489734111186,0.9983891479010314,0.9984527447009636
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9956305996254555,0.9946130970158188,0.9980507936173775,0.9974426316353854
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9933342789522618,0.9929504018400608,0.9954244337898829,0.9954460295112616
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.992801121916723,0.9913864106536636,0.9989014155503844,0.9990547269022164
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9988928384206232,0.993601721904788,0.9987488245487681,0.9987464623226328
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9904457017324624,0.9900930496710192,0.9964432928287136,0.9958626651423491
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9940571168341862,0.9914559078984257,0.9947636681312129,0.9951423570213339
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9907496394774806,0.9893457755619476,0.998545220820014,0.9979616502350107
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9968951916705298,0.9946122806299869,0.9988536326859518,0.9988769107324309
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9915784128662414,0.9913726951198383,0.9979884184979231,0.9980358993130343
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9918832086508703,0.9911700346075963,0.9989992312585654,0.998832377009136
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9925627230537917,0.9914389594818149,0.997051056285918,0.9972081798897537
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9952190050557804,0.9940393231223537,0.9983926949726784,0.998443967134022
