id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.95850539147716,0.9200013843719516,0.9966120306131251,0.9816594424466452
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9671598812502784,0.7217673798112755,0.984540217980775,0.9687095325058956
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9452719365730103,0.8690692407670341,0.9278569751787208,0.794894051890176
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9430133885230594,0.8018546087946197,0.9907206075484332,0.995379136207356
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9954360375357749,0.4324688926020829,0.975541909143857,0.864275096538024
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9982704387582432,0.8483652993873261,0.9875608233926393,0.9837603131801795
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9931235834543961,0.8776989369954077,0.9807167713687609,0.958080868857455
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9951919993754011,0.733793462595031,0.956533671479871,0.5665928916378751
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9966069311066832,0.8457214246641667,0.9883839460621998,0.9798255769685815
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9933930678730728,0.7438294461568613,0.9631123328438173,0.9819880995253102
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9993694183686807,0.9615858105906373,0.9923879299154231,0.9875172526410056
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9952774259928352,0.7906336470513197,0.8565564731623663,0.927766932419785
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9877849571857921,0.9128357353689075,0.9864429431577215,0.960377354711257
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9907729046453391,0.8974252603970915,0.9873425446624807,0.9712987632378951
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9846738046078483,0.8601108911985033,0.8311881240446924,0.8892121680530607
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9925280553792939,0.664947135946503,0.9674810934646368,0.9628666104883529
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9867847521823191,0.6925578062581685,0.9838772623791538,0.9800693568978206
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9877033502090451,0.523640989232259,0.9401534273947797,0.8835548271289659
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9950603666474164,0.8866800129761256,0.9430129063179463,0.8760746631118818
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9914767998926152,0.8549701440724283,0.9984401879387474,0.9976172001061296
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.992982756105028,0.8420037622119384,0.9940871243846974,0.9896509751001548
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9899710763424978,0.6714953282527324,0.8330273198684645,0.7920964273774775
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9859999314981148,0.7218497472888167,0.9658901078631498,0.9317545994165447
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9928229670296028,0.7812729841644075,0.973973945375997,0.957814252647339
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9976489125984385,0.7014886152833644,0.9924950548125513,0.9412792459633896
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9940765609409141,0.45484782784595246,0.9661726662770176,0.946865478566526
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9974930302142653,0.6418639269061653,0.9876723664542442,0.9870112006087827
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9973436241939201,0.706653794141642,0.9611296818383547,0.9449887845753199
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9942122207897449,0.8759192304992957,0.9930291473924363,0.9715379720728178
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9887785455538541,0.4696487680965742,0.9565323035310707,0.9133978026790661
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9866787676604466,0.5665489714277744,0.9411195709860428,0.8255499993160202
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9819760170773987,0.7500367848083537,0.9600963486197123,0.9411792445326607
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9825928934677451,0.5372201171180935,0.9770191232371226,0.8964897476093433
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9883725016549121,0.5574342806608759,0.9797467185496781,0.9854443821353107
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9856892945608268,0.7375202563400053,0.9761698847228224,0.9009964307108032
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9955886665787496,0.8707203939053545,0.9922188724501895,0.9846495271509008
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.994205803418913,0.8869613797709621,0.9974251347812384,0.9907814800209974
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9737092346789544,0.7651189271921021,0.9833524947952407,0.9337197031857124
