id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9949899518091988,0.5076697386767292,0.9010899342375607,0.7468493054279349
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9971982822423655,0.6605159335123265,0.986219446651539,0.9831329305510285
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9992017497438155,0.623442709997292,0.988351761643946,0.9528461698440074
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9949964943522758,0.6752039303433202,0.9861195327103762,0.9461761840181244
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9976233233985801,0.7347471800244932,0.9927035233843122,0.9699481428522777
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9976831850805209,0.936053599620918,0.9881448233326134,0.9237179713209482
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9970419489966622,0.8125794807192598,0.9667249078724696,0.9623301353048452
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.996670122661091,0.6024450659101096,0.9836707588944961,0.8410827407547945
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9809917496162002,0.5628555314704864,0.9856113908366074,0.9163690297477435
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.992416922195002,0.7412165048449267,0.8207153948853416,0.9289718184383944
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9965156859628471,0.8643711747033959,0.9879853141646331,0.9491081344592546
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9957316984246096,0.7662892315501462,0.8272144730814556,0.7841810351034745
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9886738818554897,0.5350679434468315,0.9378552141653816,0.7459752976411665
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9916862740736627,0.39171815342187283,0.8812777378402142,0.7185564215599916
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9957918112850558,0.6557799996267806,0.8818407268712461,0.5849928841879377
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9955345204676335,0.6116417764664296,0.6065631344195529,0.46531774159286954
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9978123225136423,0.8455876180276503,0.7796179346402548,0.7644122950038232
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9880528397808189,0.7076909742324364,0.9778524197021885,0.8414360996154124
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9884620870512982,0.5124297438010027,0.9042023016048223,0.7209855933676286
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9970951548176639,0.6080270462431712,0.9405670881998609,0.8842500609990588
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9974111006513822,0.5889426598492857,0.9466569861258785,0.7343807495582152
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9987961367989989,0.7427379007274605,0.9616445439405397,0.948548965667709
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9955108167596355,0.8218856760274587,0.9875376599819958,0.9682838215871147
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9937727723277358,0.5573110283956967,0.9738641240696057,0.9120730943708505
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9578476975034464,0.5877277384757148,0.9670269636320163,0.8903303633628499
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9989952229166652,0.746345359602875,0.8661875452963459,0.3711420298702103
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9958689271866215,0.6929518150226459,0.8804789505639957,0.6786091826734395
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9933373421395844,0.4860869946675567,0.872021074182478,0.7462729500062169
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9975841331676937,0.5041208917918129,0.9840671253374201,0.8972191253466418
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9918338845256865,0.5453856027353786,0.9417367590378989,0.9261728091503322
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9930582124541645,0.5470132169509719,0.9630204786722717,0.8524430534579526
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9973769561866015,0.7674088707043547,0.8310600350198669,0.721564721803497
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9973675373735293,0.7145704935712769,0.47793883723324176,0.7628265811430291
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9983847471341664,0.6219300263380251,0.6347531245938621,0.8220122536889415
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.993924839193288,0.7604818252490296,0.9770876940833981,0.8400242090005259
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9971568644428207,0.4354453928013722,0.8147161341504847,0.7918910965201641
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9986751353253973,0.6616638677474764,0.8503620062785101,0.6172711623430129
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9990207951662113,0.5277905933952789,0.9294035006789836,0.7884443228046093
