id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9969483192762755,0.4857315901246069,0.9410560184197371,0.8497311826682371
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9983336045208098,0.27629924982302784,0.9823015783887385,0.9869713659505782
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9990918116296754,0.16108706377756518,0.9880169656218185,0.9623149430873104
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9996079147436507,0.6264257400750584,0.9855588573328218,0.9261711527890656
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9990905383176668,0.7583379055979792,0.9922211170957544,0.9731220015406721
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9981978745014914,0.9108869981873003,0.9865091995021067,0.9199431382443402
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9972345553144628,0.6728713160290962,0.9687108816878407,0.9628630487503455
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9975459260266811,0.49355639574684373,0.9790927242015283,0.8379813202385772
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9802979523936135,0.5681135386166467,0.9835258924160641,0.9039834253536861
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9959114838119,0.8298275891272416,0.7272024524011013,0.917294266281572
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9989484442643337,0.9508260658687512,0.978480393714933,0.9043546840630562
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9924298637161981,0.6182223654603612,0.4699500429765459,0.8906314211464648
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9914702353874302,0.6477008822006926,0.9202271835745969,0.688642529449333
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.990773507756143,0.6799152163966582,0.918018639468007,0.7297263987408689
