id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9910929275063395,0.9912700410377843,0.9910245809341854,0.9910488268060454
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9848926259496751,0.9852618541249906,0.9985741407014491,0.9988087174788547
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9867828736328724,0.9861978327991076,0.998421189885726,0.9979463582445373
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9923305273800326,0.9914067901801333,0.9993668960631666,0.9995301112941114
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9843593501368001,0.9839442277415287,0.9971962737823086,0.9963349804415422
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9956438568511887,0.9898583144486147,0.9982866081177181,0.998116119483927
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9886720536216586,0.9875091257556657,0.9951642815012094,0.9952299819129682
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9970828373053241,0.9951928012043884,0.9954015851712198,0.994961407743456
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9972283354328713,0.9766679623878163,0.9976823271080084,0.9982113687785651
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9974843757467705,0.9969155123150862,0.9992496453477137,0.9992007599716723
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9926194926601332,0.9923893353820255,0.9945879977456887,0.997067641154672
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9966596497420294,0.9841130471783688,0.995831055383907,0.9967316643171399
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9978524416379307,0.9947416321530754,0.99071676105466,0.9929088180214406
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9941047230892381,0.9932574423490714,0.9931522691381096,0.9932020836658791
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9924002866022493,0.991737318350563,0.99065542408026,0.9931618654596641
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9933020253953178,0.9933116302026015,0.9926168968787914,0.9933616890997392
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9966311730787563,0.9950829918136707,0.9948943681824964,0.9947881444532438
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9980743238786696,0.9901249701375724,0.9984792263480423,0.9981513595756457
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9986660889623026,0.9941726476028426,0.995679786648299,0.9951715076057047
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9977693814343461,0.9960898702395942,0.9870211316868073,0.9894254428196424
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9973232250431904,0.9871127835636191,0.9880036637392678,0.9845700564694938
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9951402676970657,0.9942101662063628,0.9986599303924932,0.9984668074409818
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9948491885764981,0.9936710999850132,0.9994350626323839,0.9994440660150663
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9955224319672539,0.9914898002752787,0.9843610783137503,0.9763947493420143
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9958766205368454,0.9957363709022256,0.997665083223553,0.9973073225958986
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9949283903949534,0.9951572208386662,0.9943643464453568,0.9942037748110584
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9984287997120052,0.99783804315654,0.9955680494895468,0.9956578409559756
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.99814095269605,0.9866597821018191,0.992338135121964,0.9921999551009926
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9973028653050605,0.9956158607199339,0.9985136974777515,0.9985287027721027
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9976298450588973,0.9973891429652345,0.99852580648992,0.9984789547828037
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9960352416177328,0.9952039725340343,0.9971820953125882,0.9969921174657369
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9951905173596115,0.9831688888180626,0.9705077540459901,0.9740013588758342
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9976581702557876,0.9953942360134828,0.9614379421352656,0.974290727533508
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9952300755625925,0.9934270293828011,0.9932334770026925,0.9933973423283252
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9961897153190874,0.9952995428347062,0.9917142263966638,0.9924073203744695
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9966592413291806,0.9784096165744317,0.9962081746381253,0.9956719761966422
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9929494583588209,0.9928241854679588,0.9953206458221714,0.9954902107713018
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9928153779893917,0.9926793133626861,0.9984316844560532,0.9983842856792564
