id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9911317980105452,0.9911523865397055,0.9953102697791495,0.9968533790020008
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9890160330278391,0.988544305660505,0.999662572079183,0.9995445065313178
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9876704345563422,0.9882348641456111,0.9972377409850431,0.9962400206773638
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.993194659006583,0.9916058605033442,0.9982829384583303,0.9980201004135208
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9845551673985298,0.983676777767561,0.999621129388256,0.9995975235456717
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9984243406399589,0.9968512450167243,0.9975449369680152,0.9981058304620137
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9887234460377794,0.9882435494069077,0.9971203005658276,0.9968627104904346
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9970828592963936,0.9949463329200786,0.9988062381012853,0.9989639485909719
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9968066286915356,0.9589833406780367,0.9978230638781721,0.9982572752027027
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9977960295122369,0.9974081681935267,0.9991639288011984,0.9993842128471525
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9932160035880349,0.9928477308741392,0.9982670494957852,0.9986350158065225
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9960474238660761,0.9641044569868967,0.9955169053890355,0.9945471295903545
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9969659562960478,0.9915751157649485,0.9951414710613647,0.996182455529395
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9941079473188836,0.9936244598247163,0.9950100971437016,0.9953857689280976
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9919987819512998,0.991067493507666,0.9796027487416042,0.9729900655389729
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9932191803053918,0.9924981049895526,0.9479849956514155,0.962551231311707
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9962721859353375,0.994391592360827,0.9942438589689155,0.9945351325022876
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.997722667877771,0.9812894471063104,0.9957600274207343,0.9950336603151178
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9982117570708812,0.9879122756245435,0.9917767476026517,0.9910386414310063
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9966471745724935,0.9930405663328198,0.9984316377705047,0.9986581538873451
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9971547548766925,0.978620844785384,0.9946382182835987,0.9937970132482409
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9962609135604268,0.995791909959868,0.9969135228286665,0.9961962017287773
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9943697830308604,0.9935049930853806,0.9980454993806359,0.9982340212573432
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9963227672477359,0.9935416862597529,0.9971544314477856,0.997489175715169
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.996161994665902,0.99591260687021,0.9986842814879645,0.9982698100746932
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9956108105693104,0.9955991922637901,0.995851126390895,0.9960380687384981
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9981505751819089,0.9967923573963798,0.9977754042849464,0.9980947180626124
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.997557568885355,0.9711552212139286,0.986739400893286,0.9869390404620032
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9958214924116544,0.9909852988249648,0.9963873035505063,0.9971134603049447
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9987764864237945,0.9985801579524689,0.9984059661309073,0.9980241647528548
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.99649357645572,0.996169459129677,0.9958724676954825,0.9961850858931751
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9921306671747507,0.9628350527267694,0.998328865474001,0.9985521908028003
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9961998563985882,0.9902852348240907,0.9321137651083096,0.9546195257928711
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9944598828788115,0.991510037381626,0.9896568371839358,0.9905412764433519
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.997116450170006,0.99657157871664,0.9983268374428993,0.997989037514222
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9981352655333084,0.9703173029513549,0.9963264733884336,0.9969292784826701
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9932959520062227,0.9930115004293417,0.9894541529329307,0.989536228351001
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9933515276731083,0.9932104824150658,0.9979901535927636,0.9975963850638172
