id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9879914813369209,0.8113985998825428,0.9787174415469712,0.9643577982334663
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9877789072430735,0.5905556493702078,0.9950472292455451,0.9927972716542204
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9741168558676725,0.7175597716008123,0.9932109284059295,0.9830668952587791
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9964139800515976,0.8369096459990949,0.9690162908186067,0.9741497201707817
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9980434305510684,0.4998237379951407,0.9935045198244855,0.9566341206246878
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9923633182865794,0.7840503301788139,0.990905328257205,0.9811370173608595
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9945574185580747,0.8696538357605189,0.9763869183363743,0.959106515520388
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9825650996046218,0.6480446313790607,0.9750336346828921,0.8063317298270339
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9405707979895953,0.7476219636036057,0.9927013929460758,0.9869010869559665
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9931220984936419,0.7020040018114335,0.9800776246232908,0.9926319954764351
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.997364319426093,0.8935895884803546,0.9904363864218066,0.9768589462451477
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9919896711324881,0.6343149565871944,0.9132838194295816,0.7843450181880995
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9688714497976618,0.7386600261475337,0.9671623185370486,0.9248453029428386
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9663864484342128,0.6666902648809122,0.9501284371376849,0.8889442376904028
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9642183226463924,0.7980758539606858,0.8256961536082191,0.7713761595286268
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.995350185236241,0.6765906197275496,0.737438756976569,0.56045654961211
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.992911266612026,0.7657266677004217,0.9423642398647253,0.9391872409972061
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9822178563258396,0.7201268585151536,0.9577456319616929,0.8935697739012541
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9721402377811629,0.7557339034572252,0.9672408539441555,0.9647589470379391
