id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9824014263822071,0.8275868805794713,0.9299497568984797,0.6952345788151875
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9867032143820351,0.8569895766312599,0.9211778756668159,0.9045503072909653
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9958413503781238,0.7095964381068266,0.833029284678787,0.5395505891877953
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9965971921877801,0.7791313824963901,0.989124315533145,0.9878406055475232
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9919476272712975,0.7947030285136427,0.87309451840833,0.5373465783492332
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9982013107510785,0.9289184323115457,0.9440197383350134,0.696925402680451
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.986454777623575,0.6352295140896604,0.9636741509224759,0.9106481339899433
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9963300274016934,0.7175367805506216,0.9802264863447357,0.7362482002612013
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9856638425836363,0.7004015936939494,0.9792036866234297,0.9188842046400327
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9874828549982517,0.6919480389792809,0.9782226118847794,0.9894350475733845
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.997215688616566,0.9087732312622793,0.9836687081979053,0.9559437947437662
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9946676872588424,0.7494936291645565,0.6978554924400702,0.7203486325575932
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9595940393353021,0.8715272242182915,0.937721808514134,0.8789793620168176
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9358421658853585,0.6912841212310553,0.9743236618070401,0.9112550432034151
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9190964975284843,0.6128641100543116,0.7773395863179667,0.7924361306302087
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9835955922962354,0.6664848226037294,0.9961031116005186,0.996113300755928
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9005617218901713,0.643818706414657,0.9204462172068962,0.9641066505021234
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8903761945741118,0.5627748126552704,0.9644045213120691,0.9487516426412355
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9953278330932066,0.7488598020560664,0.9934076832479837,0.941638383251596
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9972702593445594,0.8426446340956385,0.9956226367904543,0.9886295384522235
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9933575054066396,0.5042909544221635,0.9905085944737649,0.9657406962626687
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9965525376650904,0.5477446368003241,0.9890009156325603,0.9807515805521427
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9754510420554896,0.7078059822826744,0.971058126185146,0.9660746757761601
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9525956099066591,0.7192814268452975,0.9751043526182871,0.9221330488115778
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9893810392624186,0.7337815185839054,0.9930098563540333,0.9455010330291829
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9931946457121604,0.8690782138753926,0.9587599460771634,0.7779296212177907
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9824905416855124,0.7782944277445573,0.9740816545529221,0.9652731851051586
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9913671464276889,0.48718350602120014,0.8274566772925754,0.5951586787712742
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9901931030920395,0.5312579180536859,0.9803204930041008,0.940186221685007
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9961465496972102,0.525190319273724,0.9892302646691495,0.9710165952418339
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9909347696895742,0.7543968896345105,0.9908293760130518,0.9619294504356407
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9965588939492503,0.7480838465026889,0.9537985467862186,0.9409580756337661
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.998851278163756,0.8446536261440439,0.9815717950806311,0.9323394455527635
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9940074370170698,0.3098204842687239,0.9599041192075296,0.9053299332768726
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.990653292506869,0.8654136415300056,0.9969328405258404,0.9903855216287335
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9970233558933593,0.5094499628428663,0.9694455361870503,0.9596230267573088
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.971090394255064,0.8113548415568256,0.8687300232132172,0.9068539672611917
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9859798047876183,0.35075580362781184,0.9350289819008374,0.9252415560318048
