id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9916403845376458,0.8416660635256222,0.977202801845855,0.692788533539026
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9876927063121292,0.8134174611571043,0.9376494844870001,0.9518169457492905
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9950918370113012,0.41810730155425196,0.896408146765075,0.6986023246284208
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9989862714519091,0.6666801207366286,0.9916282245888298,0.9879588425873426
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9928705550642423,0.6490793787796643,0.8884608836199192,0.7036570657763417
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.999114201565298,0.9272491994154883,0.9445068584886948,0.7005068753163438
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9943753509954428,0.6542770073025703,0.9436211166111913,0.8765463654184525
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9977788011734893,0.6719983498212057,0.9774127504659305,0.7362466461032938
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9941321034499472,0.7393761389018946,0.9864226484352913,0.96346937289058
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9959388697824327,0.8175135413566842,0.9768652299388044,0.9910095465414926
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9978582159516127,0.8834257371688538,0.9838459622908869,0.9643586066584527
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9888330735292259,0.2360967912536338,0.39958540592720393,0.6689949685211909
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9628809680159405,0.8216120862359918,0.9432786389872011,0.8943002285946313
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.952708182804263,0.737737654709567,0.9739057232664874,0.9647856357568935
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9235559864848697,0.6874691006735736,0.6670993336487245,0.6922010015328764
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9938865711129002,0.5205291923978568,0.9971573754567014,0.9938523435559876
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9172439690574599,0.6472491400296913,0.9148333813163372,0.9627422364187807
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8859395733911992,0.7155070519045585,0.9592437024833975,0.9455437298477564
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9979082327018447,0.8500359254842269,0.989644881817437,0.9471985745856902
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9980958175850436,0.8276883007357527,0.997216940333738,0.994133449904183
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.99521416768194,0.6515933933828094,0.9929513756079873,0.9674298249628094
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.998015259715377,0.5512464226914203,0.9889771546320356,0.9825113637335957
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9854896202742789,0.6661119787672307,0.9712468056682169,0.9648930509751285
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9404351426101824,0.6165864613507567,0.9592388449539281,0.9494670182686796
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9903242678816884,0.8125854360649712,0.9930726065841075,0.9521563815399751
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9946988540441418,0.8619101929686972,0.9695126796000743,0.8518622276079946
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9759862108543285,0.765398523837346,0.9607494872120338,0.9147269739756251
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.994337217870664,0.5601663309916854,0.8101181125110295,0.5712022500313828
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9928662639286017,0.7751939258896358,0.9804758236653957,0.934636990929338
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9976751067049812,0.5277165877872408,0.9841972740077644,0.968603502271329
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9957066893487398,0.8440900875952052,0.9917599630471945,0.960903912891118
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.998937622108746,0.8619683440752272,0.9736066179652668,0.9585223026532751
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9995149997324597,0.8781074075973888,0.9888891521366654,0.9476343752166684
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9987482330144145,0.8286008063772726,0.9545044278764594,0.9156815838305569
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9981648970966918,0.8806288086634444,0.9969010374165254,0.993510263194162
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9983966561229399,0.5980963916215816,0.9859472395810908,0.9614912278591596
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9922084743004486,0.8937245842229823,0.8574112009862686,0.8760915572363629
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.978833027984026,0.5560512550065735,0.9439067949197059,0.9323945990457111
