id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9992027244997629,0.9975286437193707,0.9895819596032729,0.9892686303829562
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9993861701008936,0.9978037969361601,0.9891472604988738,0.9881893287366473
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9981977035453385,0.9961214252049265,0.9866292803156732,0.9840369589382495
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9968722222465172,0.9961661183932647,0.9996568232023513,0.9997054785670049
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9979017112361963,0.9966808053365318,0.9855700591608108,0.9811448568737723
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.996687631137938,0.9952892609608036,0.9963991874624402,0.9959128451222445
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9963442579951332,0.9926367685027401,0.9973075759426145,0.9971625826938132
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9970904506641368,0.9921548699044053,0.9981530952783813,0.9975993567627706
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9965273577790393,0.9963133926456039,0.9986015946395976,0.9987414402907259
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9982987970011704,0.996249841402962,0.9997063293322375,0.9996786806156341
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9955493987660189,0.9948131301387674,0.9916638629730228,0.9945576723481889
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9995372609442177,0.9991488058067544,0.9864628651897803,0.9883306975174864
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9990459388956483,0.998141376018104,0.9981845008869342,0.9981902306268085
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9979777071918796,0.976078713669296,0.9910630494844177,0.9908031173708058
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9963255337601163,0.9956490482809396,0.9915028130321191,0.9881456677939983
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9968266946494185,0.9968660088802552,0.9997309984855867,0.9997822639739362
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9996619269446427,0.9951157523489161,0.997278779388314,0.9965638322683024
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9984771039193585,0.9978405647125543,0.9970640056903568,0.996513970504463
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9992017935464789,0.9984029240436217,0.998534724231336,0.998647248837077
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9973623461068999,0.9967758550449226,0.9975488934214358,0.997945343607399
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9983671379299814,0.9963922024764194,0.9970937089101265,0.9971603076887599
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9988304793827191,0.9977204711453502,0.9995578841293395,0.9995212422913122
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9966892678289876,0.9954840594753629,0.995028908476732,0.9956044699015763
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9981660361640153,0.9840449174531284,0.9859394520103825,0.9839087585749967
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9985061292915438,0.9871095921234718,0.9994683477349822,0.9992510533987405
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.996414063857802,0.9959428586341127,0.9947690332535919,0.9952878211547713
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9993746104314118,0.998326454127632,0.9941644297353789,0.9933449550775854
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9986224918014742,0.9952582958196989,0.9829924202373673,0.9876378373591221
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9980903081109094,0.9977356394994257,0.9949755824330087,0.995716218471949
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9989953516055737,0.997787825969193,0.9958588164594241,0.9954251323169147
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9967962784411493,0.9950856079271729,0.9991352702056806,0.998993177651526
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9959701412670184,0.9955786233888816,0.9988551342888645,0.9989004857334448
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.994496040453459,0.9943132326720425,0.9987493582642214,0.998460617072748
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.997419997809216,0.993973477796468,0.9987082448161463,0.9987772310066279
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9963720127389839,0.9956144565965052,0.9993839067045057,0.9994471331601754
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9969153416429916,0.9901893641893917,0.999014360340979,0.998959597283435
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9979293494912383,0.9974780664911339,0.9955198110908696,0.9947348462354427
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9972027379603607,0.9967988080067626,0.9946248700830285,0.9941992982817552
