id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.998899956803495,0.9960668747358823,0.9864964220352127,0.9854286535093655
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9994004942356658,0.9975774428533177,0.9913115602918715,0.9892600528972229
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.996162061325256,0.989978185407111,0.9706424576457015,0.9682153660797423
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9961197222775682,0.9957094171678075,0.9995611888240027,0.9995909537288719
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9964533422650445,0.9930235549443379,0.9920138856970969,0.988477523211609
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9949775469482395,0.9909949033190986,0.9825329770618909,0.9876752933920679
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9949107302464794,0.9892624597024879,0.984474979900133,0.9862473358334305
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9974194471877654,0.9930931950888244,0.998858038356615,0.9989834627578636
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9970515335696474,0.996371582295917,0.9985279770325046,0.9987333087957749
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.996972730362013,0.9914737591011462,0.999154301914884,0.9993829511648324
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.996025872452294,0.9954438614329248,0.9963300335861472,0.9972770488517847
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9989844321619243,0.9976183629689387,0.9837099803723994,0.9832491427120948
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9990818556705809,0.9978660812073318,0.9935672493031656,0.9942666673271519
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9984064683681413,0.9755592431152322,0.9979196951923314,0.9980685833828148
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9968237392603436,0.9965546493509553,0.992314222202276,0.9923831965050489
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.99612368827508,0.9955730197320865,0.9996620789299405,0.9996073475572173
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9996428153093054,0.9935811555026484,0.9966766471080962,0.9964805827902711
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9981721021305274,0.9969531278297171,0.9975353764871823,0.9973515959943372
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9988797522896699,0.9967268381995786,0.9991460731197811,0.9990291076721036
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.998138476737877,0.9978603275683708,0.9995570883530915,0.9996586327876178
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9976280821363156,0.9952751479852526,0.9997451756137643,0.9997435209163313
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9974168285020962,0.9920332925633714,0.9994255666938234,0.9992975477188464
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9966590610066595,0.995052896044651,0.9937464152273418,0.9949559275440085
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9978772029640653,0.9778508832501133,0.9908845664222513,0.9913076628078565
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9980850488689502,0.9738517364670147,0.9996825700948447,0.9995623156984091
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9970687808877066,0.9967596460349215,0.9971735131474629,0.9972228676628435
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.998863486408718,0.9951816317109082,0.9987348460158259,0.9987827259782586
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9984305481985136,0.9927601131855543,0.9926578168367498,0.9926747795266542
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9984266512462326,0.9979856143281224,0.9986025482996931,0.998629759673028
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9962206463517485,0.9897177436764328,0.9936038968569695,0.9934786579715388
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9972990737663171,0.995299796519903,0.9981488837540434,0.998105590918456
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9945410805139544,0.9944926277339414,0.999322551309202,0.9993985886830534
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9939449810374271,0.9936827574323319,0.9938743210514327,0.9907415886441395
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9957079569046792,0.9835331366086414,0.9940365912109853,0.9919968193546709
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9967739855505721,0.9962749879254926,0.9993118551720777,0.9991713425985778
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9944828678240722,0.9621396946721504,0.9992034202844317,0.9992771948991946
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9968803309429374,0.994837602371097,0.999005792450052,0.9989509663164278
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9968265908619922,0.9964197242005112,0.9915712577316773,0.9915020743468836
