id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.9914770024500511,0.9720570356399866,0.9931699478103727,0.9640580112942427
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9610883407295628,0.9454606374535375,0.9293233952471657,0.9132172759000009
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9833248737607896,0.7784225998100682,0.9452085628555208,0.8474696268915616
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9470517469593691,0.4512638505785752,0.9923562060643148,0.9964563313927379
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9769612249291441,0.4725587503901864,0.9295143773151237,0.787058478860643
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9871985653346339,0.605829062553446,0.8934152837026552,0.8391827838782164
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9894706397223122,0.6429336835633435,0.9766767153144372,0.9226971950896347
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.983486634480483,0.717161081116418,0.9699878701969986,0.41577615622969194
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9903222641891272,0.6883402956788794,0.9880732753552265,0.97190259664277
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9847456912716477,0.5309968827350935,0.9915171298364298,0.9948472634827582
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9975791018269783,0.8833232674474655,0.9875030961186007,0.9796348014543063
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9897736317444406,0.37190847438784674,0.8076591243603507,0.7288157102591627
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9695622575669904,0.9160858860311394,0.9567470133836483,0.9372296750875257
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9445427598816744,0.8630643425911461,0.9796202707403394,0.9233740974445214
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9036181344954247,0.885569384262785,0.9512741675774744,0.9210412982566651
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9736427698258135,0.7224761994247554,0.9977698489795945,0.9961232295595203
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8780116379215757,0.7402010332018293,0.95997264020023,0.9675574310166535
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8089781895541097,0.786887523185042,0.9785036220706896,0.9766105372604111
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.986340897654744,0.7683170787528846,0.9923837103067169,0.9805135059563721
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9961788854798991,0.901044862177694,0.998987934291794,0.998436542008519
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9830848453809251,0.7137403591722634,0.9828286598581697,0.9787364878572383
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.994977538586546,0.5849846474867304,0.9918058368846778,0.9864286006919729
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9717271474216387,0.8054737970505483,0.967020913902165,0.9335842876966488
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9448479074594242,0.762142397156107,0.9715399995533972,0.9226194184495182
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9866156550353697,0.8987011577262763,0.991435364008009,0.9463865120284166
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.994348377800201,0.8643468391090919,0.8536409324121719,0.8213798453002165
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9746327443087642,0.8160890641405046,0.9656533978107912,0.9595150977901539
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9827514246003402,0.6417289283537989,0.8899308185999709,0.7970866529411411
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9811436713900972,0.7218038010765039,0.9842873217429489,0.9202508924928803
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9948656170480055,0.4187927534048495,0.9822291853335915,0.965784161199324
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9878444080877326,0.8823016022636074,0.9908067943643093,0.9469788722184627
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9980131984797898,0.913521334215247,0.9975382801833387,0.9951152313967027
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.997774261181137,0.8556316107959657,0.991969447048964,0.9740779817233266
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9937400727516766,0.7783568826186914,0.97120026868444,0.9736821750803853
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.98932461852924,0.7669198314466189,0.9980967310988935,0.9930045272524191
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.985273952445934,0.7293113240608651,0.9943330268700272,0.9896167583189563
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.995500840211458,0.8732214460197925,0.9794317728842905,0.9569444336477052
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9235836522457588,0.8962432999539607,0.9818789895500407,0.9775474058848455
