id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9978327626091666,0.8174471351413516,0.9781621688831158,0.8487424991221852
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9975151539589524,0.6304915657175096,0.9705935127952938,0.9741467856126295
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.999075951146641,0.7413498734552654,0.879642278845685,0.882417443551807
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9955248440978104,0.6347266624133874,0.9413534248583433,0.9421016819755316
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9950057437580352,0.7295473148681202,0.9741734874881465,0.6630878750858428
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9960551474285049,0.909024171898708,0.847777038065938,0.4685796630736918
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9940027606118643,0.7727185966452111,0.9835218415308571,0.9789912725312445
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9921922455952693,0.6396561051913573,0.9868983541954941,0.7855595158652006
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9941393781978431,0.6689729083860143,0.9742128154675257,0.77753343650604
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9906283507239354,0.7106980277344166,0.8742653425090314,0.9746541676866961
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9947376279264764,0.9233817186900374,0.9931150482399247,0.9763202575747952
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9930857357157044,0.7530036838806643,0.9353072266205523,0.9041431881996252
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9817464016661122,0.9403313647712415,0.8920701858397083,0.8092967513795964
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9960307735482881,0.7665417450514722,0.927022455673321,0.8723711236443046
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.992077564332065,0.5769742366148272,0.9225867840546794,0.39959643186125804
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9922814878628923,0.327581707463048,0.9969825176731979,0.9960983371309122
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9935046065463646,0.6647480404335694,0.9435917196113988,0.9341626088673456
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9831395046975466,0.8574801517185391,0.9887130291086188,0.9760461570899597
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9838503114669691,0.7696014894834471,0.9894914362025827,0.7645808109691333
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9935411432142158,0.8005312841420386,0.9963978107418201,0.9920133363999811
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9927185931500193,0.5096227828617836,0.9718715809541472,0.8229769001852133
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9889904258418835,0.5068074256353811,0.9941657630723567,0.9768490738332196
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9966275206892593,0.9429689120252979,0.9960340055487017,0.9896933253523172
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9781406821868083,0.30468015465824067,0.9950018399512307,0.9757607727415724
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9953470536676805,0.9811109673194568,0.9278952209256883,0.9165571916171082
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9898729335119285,0.8518403193774708,0.9709583995236581,0.9186403391646315
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9691691761109782,0.6944980951604331,0.984802994672658,0.9630054459047015
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9536751366019358,0.6250893109543959,0.9323281995213254,0.6963072683476849
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9780294132567575,0.5537374659707547,0.9778806824685112,0.9102621513890945
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9884089198862431,0.614176361370969,0.9922795958188572,0.990115538832745
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9610263103632848,0.8556947236134179,0.9470888991874048,0.7813876725538234
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9964094181600812,0.5561519307742011,0.9018943713715493,0.6997475479461733
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9907108034481603,0.8450578563880383,0.9963199669207875,0.9931369284500604
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9948345575665681,0.5142215844071116,0.9470219993504875,0.8735223428026829
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9935227746602855,0.8534396096023079,0.9962538312697776,0.9813788983314352
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9832834411940411,0.6499360222035456,0.9829766490149481,0.9750064679256581
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.996686477611723,0.8009111463203321,0.5984088139191002,0.48423756441802107
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9955983268860605,0.6418771225868972,0.9192286763341421,0.8398998823792112
