id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9977428666881325,0.7240536103841159,0.9801036049060698,0.7995853106429156
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9982872756617084,0.26122214513441766,0.9558607886865056,0.9801966952338231
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9988182074625729,0.22094367233658513,0.9026073033311777,0.9192148969458802
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9946655387357916,0.058483376461370674,0.92580677271193,0.9173846600691387
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9973978449020792,0.7356924812864971,0.9806139499406091,0.7455081818945399
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.99686804572244,0.8698481217307109,0.8260291377838785,0.43213886614035474
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9954260115346844,0.747001543834266,0.981181532100031,0.9706958030698616
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9936427631701741,0.6165809726781545,0.9863396527337689,0.7576186641476378
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9967625394285274,0.6737073962121669,0.9701711844087526,0.8324040230526923
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9983793730212923,0.9534324559944158,0.6014155141824664,0.9544801640383593
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9985863146789157,0.9499194236606975,0.9914835921685228,0.9810760558447765
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9966232803441994,0.8126795088149776,0.7665091708587299,0.9214889539721998
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.985395444195473,0.8251204808076483,0.9306526721471889,0.8750643587525829
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9934925638698529,0.8409808468582113,0.974015883077094,0.9305617256227844
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9910945755531443,0.5395289556647697,0.9136580681362924,0.32895380187020307
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9974866944685705,0.622661304964623,0.9979982178763488,0.9946066147099556
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.996743318436971,0.7024342567739715,0.9556704109376896,0.9597662582984041
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9913696436142729,0.9180763657141373,0.9895304346599959,0.9822356546905057
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9935057163258074,0.7662468202310632,0.9860899547558021,0.7621808798879953
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.997081638696643,0.7572939701011392,0.9958486262190609,0.9921521786023905
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9982269920772248,0.6801577753273038,0.9737949162740921,0.803727707816166
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9945009515261939,0.6373592691107107,0.9946228136597103,0.9793616858781246
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9965357415538552,0.8833688479273281,0.9919396672113281,0.9753788975115492
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9971951314002967,0.6731558912613553,0.9951596800165287,0.9836527988687734
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9944248527940824,0.9768546710089524,0.9291356192431467,0.9044880361353217
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9990084086741463,0.922508788484929,0.9696971408370598,0.9278223921240735
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9939955404927585,0.8703480171550483,0.9742003741852503,0.9517867314693942
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9664310405684668,0.7088152016607883,0.9193688349960477,0.6764447347555815
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9812106465073483,0.7090440819247169,0.9801902939325132,0.9012584233705923
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9947914560397079,0.7201414260413506,0.9838520961967986,0.9850252131417829
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.960203803787835,0.8217543469202019,0.9445586794040637,0.7827680102560833
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9978745239364045,0.6543917386857142,0.9359458366944406,0.7749025295422126
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9971837205656426,0.8798698313885739,0.9972950479458622,0.9917472805828895
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9957362811906749,0.4576785911818586,0.9340802856224394,0.8982111347190477
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9963496009964934,0.9282874597726231,0.9947467248431625,0.9855693256614825
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9724580972015722,0.7089201831519429,0.9860572859180791,0.9658413817563993
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9976828023625028,0.5027942199600373,0.6988442538221522,0.4626497561584249
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9961956025834452,0.689987509243102,0.9082664751661256,0.8545737048899095
