id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9997337322914595,0.9976596995746008,0.9973329992699053,0.9966198527109899
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9948066817220722,0.99433183212043,0.9974760057170694,0.9972830301022122
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9958990562751954,0.9950796482752844,0.9938895196155417,0.9947910868334882
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.995439651407759,0.995900128167385,0.9978391724282994,0.9981876113998392
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9925259797318133,0.9911518396482298,0.9961884839172429,0.9962946336010887
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9992983521096872,0.9963113502414626,0.9941137738789325,0.9938361749709144
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9925007316392402,0.991329748913786,0.9965938201453315,0.9964024008405754
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9981315621920153,0.996935952743255,0.997760463671674,0.9966173120095414
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9978973251604463,0.9974966357943889,0.9960827942048716,0.9969841569774377
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9989915007267327,0.9944612746948328,0.9969599458487438,0.9970967944876497
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9966502131823083,0.9958961847655854,0.9983858796499457,0.9988443754348849
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9969318750603485,0.9966238070155929,0.9974823693915008,0.9978096769029033
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.99781965517881,0.9974638514293376,0.9980127645506187,0.9980148662904672
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9988796433559973,0.9982036860610937,0.996975564020353,0.9973058346062168
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.996528617367021,0.9942176977544334,0.9979518292547672,0.9979383895155752
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9981520384166186,0.9980180386142996,0.9998085188677668,0.9998488269349567
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9966292848001487,0.9954983023983897,0.998981653077378,0.9989830893032098
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9990181304581246,0.9976953323871961,0.9976809022914235,0.9974919228346765
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9977060637529208,0.9922452934182228,0.9992558989685417,0.999133739546068
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9992971304882581,0.9949072237644438,0.9995342186149375,0.9995506336811532
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9978747653160219,0.9930058488122832,0.9914459995794195,0.9865290973839833
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9973239900431984,0.9865361671007721,0.9991306784712087,0.9990472975734075
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9980612320266805,0.995895726024664,0.9989499193839991,0.9989203591823066
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.996788217213453,0.9945322532157369,0.9984879668253605,0.9977239171536472
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9976403885775238,0.9974233743167565,0.999585760107849,0.999512345358054
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9990607707730108,0.9985732575870648,0.9990264903181825,0.9992944889030133
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9992043970183008,0.9969509855608087,0.9958240367753027,0.9943416281598715
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.997614505504508,0.9878595618909845,0.9903187146572568,0.9930644069895647
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.99934758945278,0.9988743790755509,0.9969999359891142,0.9971175246641982
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9992027153431084,0.9987008367589362,0.9951536607652431,0.9950838827287917
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9985482092933472,0.9927680163433767,0.9928016206397721,0.9938767747201628
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.998433686207978,0.9966520113286916,0.9987211140126296,0.9987896305374174
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9988679861943404,0.9893758117148923,0.9996778662128819,0.9996267189009683
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9972310168114954,0.9866397167131871,0.9976305729159342,0.997909654419839
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9985394862204988,0.9887788991533584,0.9971530460961153,0.9977712342655943
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9997168602571328,0.9976253903803852,0.9991294534617181,0.9991245132550924
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.99644309792203,0.9964891406438905,0.9823231883984739,0.9795769285250419
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.994378252614957,0.9941461977268281,0.9930857769334636,0.9948822757211131
