id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9997149654087634,0.9968258543168844,0.9982838551074142,0.9985002742086256
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9959940519424729,0.9956055995550631,0.9986860394877575,0.9980833944678414
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9944670707751188,0.9925641964768935,0.9789270626692794,0.9816467886994401
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9957895004804455,0.9945219093051195,0.9978230740757057,0.9979228236194351
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9926451728542353,0.9922643982915696,0.9989081774225463,0.9987202594124068
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9988874158170378,0.9941988080208988,0.9664454888256006,0.9766762528412614
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9922992489482334,0.9922227765543151,0.9963020867673084,0.9957518681865675
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9983819354824319,0.9977737781037952,0.9972493601158545,0.9977861571253285
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9973648774220419,0.9968259431007347,0.9931576607859265,0.9956812193567358
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9990470121398014,0.9947011936438351,0.9965694635687415,0.9975516717725397
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9972582798501611,0.9969285628216692,0.9989763815554757,0.9993212798251793
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9974654403450496,0.9966358286773633,0.9959539330104586,0.9960263105250134
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.997084193881425,0.996254077707774,0.998368280950715,0.9984889441897649
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9971687244590006,0.9945660713475492,0.9964488341122965,0.9962527102248867
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.996821859894025,0.9949376407208901,0.9893614049075226,0.9867897009332381
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.997713876353772,0.9967015005341623,0.9990627558887546,0.998903334491766
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9971320090426617,0.9960923130612317,0.998492269202028,0.998367305510488
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9988248324788384,0.9955617777213085,0.9978038798944391,0.9977870218786302
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9969159618943172,0.9852340943248048,0.9987823601149014,0.9984490955083127
