id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.990498243482937,0.9283469209652053,0.992574202365232,0.9709810817151336
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.9895174380119653,0.6107206255755265,0.9569383433264017,0.9142239706564177
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.9732411270075018,0.7282741244808772,0.97029060741567,0.9571901916679092
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.9795717554625353,0.6254994446786434,0.9898187604662971,0.9947309598221395
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.9945689793941938,0.47537600856991663,0.981750897797358,0.7688158148553157
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.9835674107783263,0.7457645070542328,0.8928034185950517,0.8655881468079405
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9942733731443767,0.922117421022856,0.9651687699123951,0.9264651727723255
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9671736360891691,0.7616742020161751,0.9831801338421352,0.3610928953454942
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.976029110344404,0.7090843406628576,0.9780969681148596,0.9336874474013407
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9719618633079731,0.7450839932326127,0.8724129229987876,0.9687811942247151
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9957448188583358,0.9228916686714937,0.9952924216360992,0.9893989388908421
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9925563958859869,0.7675160359237658,0.9678464448101513,0.9029493975197342
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9946204408606517,0.975175436859895,0.9295281214446228,0.8950145146525195
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.99289703391251,0.9051728769094879,0.9600175871733553,0.9217760889426145
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9745862060814434,0.7602699756205189,0.9462047586353077,0.8688366910704296
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9851423757542247,0.7012347948903304,0.9990813792992028,0.9981990943757977
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9835776095620965,0.4846644630364831,0.9808878615640354,0.9812150698543982
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9702539313649506,0.8563146246895866,0.9968102411086445,0.9964349049431668
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.957901713944804,0.8039733386423666,0.9812016580414024,0.960365948560328
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9681468903321774,0.7637760406572717,0.9996461425876023,0.999435887132668
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9638959469159607,0.48723247039795947,0.9887544002049724,0.9921852394193501
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9848633399107538,0.6014565492795961,0.9925148686817535,0.9824414117894326
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.977751005701131,0.8284621407592684,0.9937333082163355,0.9813795320652932
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9772833545507138,0.35321393909253807,0.9964048863278779,0.9851955163363458
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9944228627467517,0.9732122437446021,0.9698196200808187,0.9647416501822528
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9975616661875286,0.9373176613033166,0.918494708827441,0.9731532272729124
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9661971687790009,0.7864108851779585,0.951562295799608,0.9366295533357157
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9646101804613249,0.8770817660207281,0.9579916265595778,0.90588493854567
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9604995384784603,0.7826056815113626,0.9813768811894239,0.8997719849216119
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9828970859820065,0.6404895987131305,0.9815799001201054,0.9775180080659872
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9237184638348679,0.9016449647494316,0.9448078500590694,0.8248298721576005
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9887283964201935,0.8232696597959589,0.981575391484388,0.9709646491548383
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9859193202479697,0.8505320260894398,0.9987281749758818,0.9971264901725843
