id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9981063860183592,0.621357098725727,0.6130893564683024,0.4794468252488385
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9983187981346495,0.7082510837015483,0.9172804975486746,0.6982661284480111
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9942821745697272,0.5874935062721108,0.7406104484703933,0.25416696390903326
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9751097332649264,0.5829056815728375,0.9380150833719821,0.8627754420060846
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9783936646026354,0.7361869014312001,0.8922280581272547,0.4089901462267663
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9940280412348397,0.8285722624275192,0.942833540309744,0.8156743859349285
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.996199632237251,0.9059591788147018,0.928398311714035,0.8985248280425573
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9737086342754773,0.7534363113038943,0.8798954104799838,0.5997199226735334
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9842210700328243,0.6181308658686571,0.940875700049398,0.83120004840711
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9717912595213136,0.8540659768382979,0.8420735945294199,0.80054560201192
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.990004065136007,0.8829875733992436,0.9791493931883626,0.8492956830987951
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9887606763281828,0.890714157895205,0.3269421804930338,0.45270856964987605
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9819905694310267,0.7698014052548341,0.8271395520656903,0.586956535361425
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9830008965807273,0.8293445715748591,0.8489186984865555,0.6471183871991005
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9530697507943823,0.816638720735451,0.8284578249829098,0.2777711794437943
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9824495413029368,0.9207744095631887,0.7308428819866752,0.377525859040874
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9833706709255456,0.8452264945633721,0.6889959164391598,0.40413633652200043
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9716856935083662,0.8515228049225856,0.9198159797084715,0.7402970833368422
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9793668122480945,0.7998515731021372,0.7231691024838216,0.3966587321097456
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9857623374100555,0.9186497424419996,0.6792191605890991,0.3784323635806285
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9687744299258314,0.7627196923142926,0.8775838957641914,0.6412757949221454
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9795961429090697,0.8170189107469716,0.8796085475571156,0.7471173522838032
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9939094899725663,0.9697114754750829,0.9528974561567551,0.8074030021843474
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9680277064132179,0.8473755386214358,0.9879452600061948,0.9761493668908762
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9897274604924725,0.7528216169043258,0.8303057720934747,0.7956905765957393
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9839707455674759,0.7443522480990182,0.973370030730163,0.8679572417817558
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9755959906600771,0.735114181155257,0.8887498399890651,0.8131844296339849
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9789299629289123,0.8932462834158544,0.723118457545362,0.4236308404413023
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9836574602512703,0.7322107780859196,0.9435838164505064,0.7702316414112059
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9785665976482258,0.6936171697411235,0.9080311047054407,0.8710470536144204
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9835234951916906,0.6911513291697972,0.8687622675957012,0.35808270963849537
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9675461008186225,0.7335538768758612,0.834748177068284,0.7109050897728442
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9733632135486524,0.7474052055070913,0.8164349420253955,0.5184258791733288
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9558006963589022,0.6086941010181531,0.827986625509465,0.642586057008543
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9766442856164622,0.8103269408662067,0.9860689094263012,0.9100437836921651
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9504595367246754,0.6536002487348125,0.724130438155821,0.675755910652462
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9802323058327286,0.7695287981937813,0.6843105410971889,0.42606471904345095
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9861633781160583,0.753264274475452,0.9645369646382187,0.7776212629348233
