id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9989058425983638,0.9945258467160139,0.9902983860486205,0.9900300903369651
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9971830824539122,0.9873927811826446,0.667689178327751,0.7527929192478096
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.998166218108938,0.992268106373829,0.9788383504294084,0.9804685765467743
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9990145734176532,0.9949680692045718,0.9962541645105619,0.996273096940079
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9987127231615204,0.9946005406491883,0.9729474121007681,0.9570014607335257
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9990962734771208,0.9962565183743926,0.9939980467857831,0.9949538196963086
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.998890115238841,0.9951677199222995,0.9943081166090142,0.992105737621271
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9987766121225391,0.9946450589865732,0.952404517985671,0.9679674526041279
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9990580489755087,0.9958381640517358,0.9914777239016874,0.990681537276046
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9991255633155345,0.9962739344628578,0.9889440082831669,0.9891537087575673
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9987913500336684,0.9947798371066644,0.98012992331849,0.9705956413196659
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9993735991051799,0.9967666908700633,0.9107400386279209,0.9228077662441906
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9987874473680942,0.9947272007671946,0.9895865669311107,0.9901651049515862
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9993712159883833,0.9967439775979531,0.9401318915221084,0.9241536450651614
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9993110236776033,0.997063417664282,0.9853667935648095,0.9863794208091227
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9996679144875689,0.9983856089029397,0.9719322390017159,0.9774017336703784
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9992334092408008,0.9963298907442433,0.9878311269555018,0.9870113023658535
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9992352963905137,0.9968483265111998,0.9959791810828873,0.9963939462852538
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9996510245021211,0.9982232560413977,0.9813873209586209,0.9853919030351922
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9992640875872167,0.9962982716411238,0.9914393505124297,0.9916974953108153
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9988620066305405,0.9950115036880057,0.9812760332246082,0.98463116470008
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9991544098336348,0.9959900340583121,0.9953305848825912,0.9952171162235138
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9993171265510196,0.9964567025742339,0.9929153049383724,0.9923915975534912
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9994448967410416,0.9971561593109656,0.9973889480846596,0.9976619922978359
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9990188465328395,0.995886554466066,0.9812414813304946,0.9827195664377122
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9992716887867453,0.9968883022236016,0.9991120732631701,0.9990684066980616
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9988762079836276,0.995262104633512,0.9955918206805008,0.9958400307309238
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9988459813237823,0.9951299968488918,0.9803325113853322,0.9799271845262725
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9994319037401691,0.9972698843896256,0.9771153033218779,0.9710304371504774
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9994020292822756,0.9969843046898026,0.9919027854910422,0.991456217746511
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9988003244909225,0.9949614458612209,0.9958727556738226,0.9963719944953877
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9991900099613932,0.9958688132588613,0.9967509557167086,0.9972178872919465
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9990560030232273,0.9961431517183075,0.9934877452854168,0.9935161170432963
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9986951164376516,0.9947035566410288,0.9988704674096803,0.999293963513451
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9989814130302742,0.9955343841388153,0.9910414190321576,0.9928391276372556
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9989319953769187,0.9953995750847937,0.9872665715822725,0.9876760221231091
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9990440167327056,0.9949470311392327,0.9981255246090884,0.9979453985305936
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.9993329424413606,0.9967223159030584,0.9892855433042111,0.9918432048720881
