id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9997842331488224,0.992147811807595,0.986110135383169,0.9880364762610784
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9995755752130604,0.9927166419506154,0.9964277296236067,0.9959504760679901
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9996509379342057,0.9927948896992683,0.9954789622096261,0.9945905030475091
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9992248561894358,0.9925324986542176,0.9848497406047111,0.988455099901496
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9989259363302618,0.9932229476715245,0.9986580072258122,0.9987983332020249
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.998240241112552,0.9906863355582611,0.9980042940078173,0.9982941157621826
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9991804138664874,0.9919410043067375,0.9934368730690657,0.9940447787292279
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9996492694769454,0.994685995769534,0.9576982601333962,0.9587998424500108
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9995397944544743,0.9939854418710272,0.9950606282695954,0.9950234731510006
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9992438299653923,0.9959785015279495,0.9898300717311617,0.9903313195604975
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9990780048060167,0.9957480393189636,0.9924405920688371,0.988402312719357
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9996420901775794,0.992850223585789,0.9847705429245054,0.9880333518314168
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9992893565043146,0.9953349215414611,0.9879285050633527,0.9828111563403784
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9998320683317107,0.9926847927041689,0.9597626748156749,0.9630772618015923
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9996683420953913,0.9893903649877931,0.9493829489259346,0.9572312709960538
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9998428552495625,0.9921805981811552,0.9728358114046368,0.9690071548492055
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9996442838608207,0.9942014158651106,0.9745972895332877,0.9721501730652308
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9996496224136012,0.9955355931229428,0.9958386019640149,0.9946788389107022
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9996358022552283,0.9941185799590644,0.9813703554486828,0.9808713822897482
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9998811190378104,0.996723549681053,0.9592778084087391,0.9585215555991349
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9998206829315904,0.9943691866184847,0.9910589767252359,0.991194394068728
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9998568688347618,0.9940281217430951,0.9981451884772192,0.998360463343643
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9996832533646198,0.9955940918915764,0.9953417950071303,0.9956590199474792
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9995643881958584,0.9942563781148548,0.9905285393325229,0.9904248771998713
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9994601433349907,0.9939948944689775,0.9880500247962284,0.9885351562101009
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.999732486080584,0.9904173935411602,0.9969101198157362,0.9963353866136959
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9996278654262994,0.9932279553196819,0.9969546365972063,0.9968315919154399
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.999742660087822,0.9931732760089143,0.9177501466370721,0.9237807854273192
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9997682804140194,0.9932405960001252,0.992427464127507,0.9948495659741098
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9997612624235923,0.9953401645498205,0.9990570321681456,0.9990336764984041
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9998029997380519,0.9953910297328834,0.9661145652340548,0.9518491105828721
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9998838043779726,0.9933394918710406,0.998613048718862,0.9987078633732779
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9995932032657466,0.994282057500893,0.9917097891561373,0.9886756204153454
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9998492716111113,0.9907003118560223,0.995147692302613,0.9957197752704701
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9994497929152665,0.9957746847803366,0.99745786823398,0.9977025938276478
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9999240739176956,0.9900424204933187,0.9788921584665385,0.9747277138299807
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9998494171670659,0.9913222955389823,0.9927483147313341,0.9933526979476653
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9998870016050075,0.9913344157380433,0.998800738097286,0.9989023293905935
