id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.9984709700125262,0.6347153336149067,0.941566880527195,0.6785061501142713
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.9976003421708756,0.6131002696769003,0.9530631314403234,0.957521199405166
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.9971358040935913,0.6133632414042037,0.976019680637735,0.8964139861344209
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.9981054852175694,0.8709225305990608,0.9494542598832064,0.8889885586321803
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.9967300830524393,0.7692103608929726,0.9814092822514306,0.8656383792032414
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.9973824057478641,0.8498741267469702,0.9710626995554235,0.8955767479936134
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.9955477385685975,0.7556142278443917,0.9613047657771709,0.9284054320791578
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9971806023089769,0.6349421105947761,0.9877211940438111,0.8433408642609973
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9958296932019567,0.7049782845649744,0.9885656917195331,0.9058159410902201
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9954685779756137,0.8620750725980598,0.9157268107191844,0.9153210087810623
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9961545620545315,0.8506251678935085,0.9828056801166614,0.8827255007579683
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9980915961448593,0.6857768156387773,0.9292829631062729,0.6373251783327818
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9923232320041482,0.6404830296379769,0.9617396195030357,0.7452193173517789
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9972958322513805,0.5833369610696965,0.954982259801862,0.6354811541794921
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9977855548591616,0.4786851881867579,0.9663610489098975,0.5709065008581202
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9981752282554432,0.5902821777442394,0.9372690366944286,0.8783481168717014
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.998144168367955,0.7051374758161257,0.8985868630081003,0.8603532105787521
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9952942658177274,0.6457617654478512,0.9599741850417719,0.8770070192366238
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9959888433628526,0.5699684099901354,0.9681584173587796,0.6996145146474817
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9971736942584488,0.67520123246767,0.9830322426792022,0.9594175886564451
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9984135374838008,0.5158758133882033,0.9658967693161092,0.7955284847711623
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9979681924642185,0.5149231492010421,0.9728204750982435,0.8684211606990491
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9950515469717859,0.7850289553439322,0.9786281099080152,0.9244989254661576
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9951180671759121,0.6405526677928889,0.9896723432221404,0.9516275556707736
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9970655464427963,0.6852054194259359,0.9771502359394133,0.9045079436168264
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9979780636363383,0.5525961076543153,0.9819299796241625,0.8610056139087372
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9962129515842851,0.7609978724833568,0.976783558240073,0.9368605810732897
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9982072294039505,0.5593949912540286,0.9807491081543961,0.8846229083498617
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9984223814984186,0.5785077570274912,0.966917239926806,0.9112189046968132
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9974164744735481,0.6084516452121811,0.9838099674869457,0.9596394057183002
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9972243340008063,0.4656659300434205,0.9674954259174402,0.5851203922941964
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9972781316946927,0.49139154619813025,0.9318760721788741,0.7951238660368866
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9948695007340398,0.5383203872361675,0.9445126554764472,0.8384549895189567
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9949387722736064,0.4966814714734627,0.9412310223280735,0.8387686849560159
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9901793892308555,0.6553856140227581,0.9892079643880228,0.9361363594620318
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9981336726226222,0.42400624263454306,0.9651254857484517,0.9506875539124491
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.9964576947699265,0.7539308102267293,0.8761471993517563,0.8459735869784382
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9982124489688503,0.4408770072132048,0.9699445443674838,0.8416791101488708
