id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.9991910698318613,0.4270030340170855,0.980332937754338,0.7490024445695331
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.9995894024757964,0.4332520895929683,0.939946779597636,0.9635604788193797
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.9992927714310534,0.5650943938865941,0.9793179217735564,0.9273605625624745
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.9994638858694765,0.5439818992125537,0.949116187227915,0.8817530803611299
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.9987433141595532,0.6605548042335672,0.9851858763476616,0.9066724596429043
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.9985770936426211,0.8616267607868751,0.9705348217992976,0.8938592858919634
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.9971258607388351,0.7431076438369422,0.9352934172591201,0.8796229682097846
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9989053720912053,0.7124480033551518,0.9839450635635479,0.819423951260459
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.9984879349536037,0.7739621249078957,0.9867911654189954,0.9081802735945171
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9980379166067801,0.8958609418398489,0.8973367346800407,0.9107042625364032
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9985802610241238,0.934815855558004,0.9828864079155806,0.8969593618479069
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.9990243435431563,0.7497857125698107,0.9258615754750446,0.7934770351301741
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9956209260790128,0.6906408712487174,0.9709413300576676,0.82446636669514
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9968957266408548,0.6352123233679389,0.9284365128662001,0.49966476248964314
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9979912805456671,0.5957506132323507,0.9652970233363216,0.6049169171024869
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9990868838233465,0.5612975187674647,0.9641295770310748,0.8882856161493441
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.9988876039304826,0.6592409947958368,0.8884419356158891,0.8684503313450515
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9950787712957642,0.7162400061328547,0.9301930532888896,0.8207884533310836
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9968358146608597,0.6259643876269785,0.9693605650979691,0.7060175079399077
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.9982481267573615,0.6688116798312305,0.9877341392504219,0.9694125222136605
