id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.991524839758532,0.9519440750774522,0.9927457864002585,0.9921851606770478
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.973419701693446,0.9095634980017642,0.9980392392095964,0.9982204064785087
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.990186942068003,0.9640320965208571,0.9973588657184976,0.9971496515617065
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9818309344571523,0.9517470148712254,0.999180434061511,0.9992578763589692
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9847386155027238,0.9367239210248466,0.9973897528932932,0.9974316617680838
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9887700067199081,0.9560822906343236,0.9970488966304741,0.9969854985702411
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.981639163045745,0.9080516689013797,0.9968209049392293,0.9974397037370496
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9812903866417191,0.8863451856218884,0.9934627754315681,0.990235358913429
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9905764951268821,0.9444801545145356,0.9975215814174189,0.9981049684288075
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9935376707245199,0.9723046313337276,0.9973952034253454,0.997387662587149
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9903221763801427,0.9486026961553472,0.9714004366949635,0.977162732433977
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9915320583804254,0.9629242736156861,0.9974035806969028,0.9975344354075222
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9845355783093833,0.9346138132454518,0.9963826143754394,0.9970943560640427
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9862561537295285,0.9350083891957003,0.9948708523343315,0.9936098496012764
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9831481902098149,0.8429037383024391,0.997668812792024,0.9979871721420402
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9920173276579107,0.9535182043043775,0.9984655563401401,0.9987432242905429
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9886756784711449,0.9296709293525129,0.9978472878101027,0.9978138316553853
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.994011179114599,0.9696933829291179,0.9983494913724837,0.9981343974582303
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9939187135420695,0.9795034966719056,0.9989081706086752,0.9987005538129571
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9927423841194218,0.9665295315266145,0.9980549008504778,0.9980422311411611
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.989484099016196,0.9405495688669961,0.9899637623031816,0.9842460419763536
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9937294236382054,0.9717291628983401,0.9990298559743376,0.9990021640255516
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9821254651131888,0.8796977419025928,0.9958586996112798,0.9958638285180829
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9866963494950878,0.9406448242175176,0.989101400658311,0.9833502895350031
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9913663309333025,0.9478964593204303,0.9982512521180973,0.9979965513544985
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9859732644013515,0.9162041801069566,0.9987567199008407,0.9989533614628923
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9894461953162086,0.9556902112215979,0.9980116701198161,0.9977311050163957
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9908151519682927,0.9605196621532025,0.9985041957909,0.9985364475248372
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.9930515767972088,0.971185738366521,0.9988246557661831,0.9988917704527406
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9914943005698899,0.9673697299717058,0.9985199470497133,0.998425350456303
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.994251281105508,0.9753847508628833,0.9983578412400603,0.9983069847884006
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.9890156807608073,0.9431183750377934,0.9954326302268571,0.9955525804478782
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9907686963227482,0.9427699080957558,0.9950332624805099,0.9937707608974042
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9848137714905623,0.9034945655555462,0.9965304493778949,0.99676376856914
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.991896755208157,0.958968152322687,0.9977367990320769,0.9979487013343793
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9900165810020727,0.9463419927414458,0.9979270743048935,0.9977724518366357
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9910382366540451,0.950427745885558,0.9974263092823098,0.9976377061947769
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.990596002514046,0.955404417759686,0.9973405622385392,0.9974753658495683
