id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9914917559424513,0.9376205412642399,0.995802963992865,0.9957016302579266
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9803237746298215,0.9179899577226185,0.998433727238262,0.9978974311332112
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9898674305980429,0.9470830369218416,0.9899720594756926,0.9855366489008691
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9825970367866,0.9422739254798277,0.9988506726584921,0.9989134507355856
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9845803294243645,0.9331465926554863,0.9990289009748848,0.998812910378101
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9890734334416668,0.9533206603986442,0.9904412879909394,0.992448087375414
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9828342274478968,0.8946210965947956,0.9855162325699152,0.9862369127712673
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9812305432493464,0.8773594099785585,0.9979160100300837,0.9980222506025722
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9898131505969362,0.9172223888143348,0.9980912771042604,0.9985227029248238
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9935703242439106,0.9659368760787336,0.9959200826104939,0.9967318153152674
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9906123196300475,0.9434166120622939,0.9960740979546251,0.9967831145692377
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9902330720596034,0.933628063494932,0.9982920891120927,0.9985386201571105
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9835536564061668,0.9239628946231365,0.9977164612127,0.9981132232422256
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9870290032617546,0.9215221560604231,0.9980163793098807,0.9981976012651821
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9835306177158001,0.7999217264114252,0.9972701221430352,0.9970637451475468
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.9911685909822607,0.9230949946480979,0.9985779057875038,0.9984748783084554
